student_id,academic_year,semester,avg_score,failed_subjects,improvement_flag,performance_band
S100220,2021-22,2,63.23,0,True,Medium
S100221,2019-20,1,56.88,0,False,Medium
S100222,2021-22,2,72.43,2,True,High
S100223,2022-23,2,51.72,2,False,Medium
S100224,2020-21,1,66.35,3,True,Medium
S100225,2022-23,2,52.87,0,False,Medium
S100226,2021-22,1,56.0,2,False,Medium
S100227,2022-23,2,69.46,2,True,Medium
S100228,2021-22,1,68.52,2,True,Medium
S100229,2019-20,1,58.74,0,False,Medium
S100230,2020-21,1,60.96,1,True,Medium
S100231,2020-21,2,43.2,0,False,Low
S100232,2021-22,2,86.04,0,True,High
S100233,2021-22,1,75.31,0,True,High
S100234,2020-21,2,74.77,2,True,High
S100235,2022-23,1,41.07,0,False,Low
S100236,2022-23,2,56.07,0,False,Medium
S100237,2022-23,1,59.98,2,False,Medium
S100238,2020-21,1,36.03,0,False,Low
S100239,2019-20,1,78.35,2,True,High
S100240,2021-22,1,86.81,1,True,High
S100241,2021-22,1,95.0,0,True,High
S100242,2020-21,2,49.31,0,False,Low
S100243,2019-20,2,66.76,0,True,Medium
S100244,2020-21,2,84.84,3,True,High
S100245,2022-23,2,61.2,2,True,Medium
S100246,2022-23,1,56.5,0,False,Medium
S100247,2021-22,1,37.01,0,False,Low
S100248,2021-22,1,81.99,0,True,High
S100249,2021-22,2,64.71,1,True,Medium
S100250,2021-22,1,54.06,0,False,Medium
S100251,2022-23,2,69.26,0,True,Medium
S100252,2022-23,2,67.3,1,True,Medium
S100253,2019-20,2,67.52,0,True,Medium
S100254,2021-22,1,61.74,0,True,Medium
S100255,2020-21,2,89.34,1,True,High
S100256,2019-20,2,63.0,0,True,Medium
S100257,2019-20,2,89.29,0,True,High
S100258,2022-23,2,73.46,1,True,High
S100259,2021-22,2,70.27,0,True,High
S100260,2019-20,1,63.3,1,True,Medium
S100261,2021-22,2,79.61,2,True,High
S100262,2022-23,2,66.69,1,True,Medium
S100263,2019-20,2,51.02,1,False,Medium
S100264,2019-20,1,50.52,1,False,Medium
S100265,2020-21,2,71.34,0,True,High
S100266,2022-23,1,51.39,0,False,Medium
S100267,2020-21,2,64.07,0,True,Medium
S100268,2022-23,1,80.86,1,True,High
S100269,2020-21,1,69.56,0,True,Medium
S100270,2022-23,1,54.17,0,False,Medium
S100271,2022-23,2,86.15,1,True,High
S100272,2019-20,2,73.22,0,True,High
S100273,2020-21,2,80.27,1,True,High
S100274,2020-21,2,30.99,0,False,Low
S100275,2020-21,1,69.96,0,True,Medium
S100276,2019-20,2,77.63,0,True,High
S100277,2021-22,2,90.5,0,True,High
S100278,2022-23,1,43.04,0,False,Low
S100279,2020-21,1,83.09,0,True,High
S100280,2022-23,1,89.67,0,True,High
S100281,2019-20,1,34.74,1,False,Low
S100282,2022-23,2,72.18,0,True,High
S100283,2019-20,2,74.26,1,True,High
S100284,2021-22,1,60.09,1,True,Medium
S100285,2020-21,1,57.65,0,False,Medium
S100286,2019-20,2,75.02,0,True,High
S100287,2022-23,1,55.78,0,False,Medium
S100288,2019-20,1,61.74,2,True,Medium
S100289,2019-20,1,77.19,2,True,High
S100290,2021-22,2,91.31,0,True,High
S100291,2020-21,2,73.07,0,True,High
S100292,2019-20,2,67.0,3,True,Medium
S100293,2019-20,1,57.25,1,False,Medium
S100294,2022-23,2,49.84,0,False,Low
S100295,2019-20,1,81.64,0,True,High
S100296,2019-20,2,62.7,0,True,Medium
S100297,2020-21,1,82.26,1,True,High
S100298,2020-21,1,60.06,1,True,Medium
S100299,2022-23,2,55.26,0,False,Medium
S100300,2019-20,2,71.31,0,True,High
S100301,2019-20,1,63.85,2,True,Medium
S100302,2019-20,1,46.92,2,False,Low
S100303,2021-22,1,92.26,0,True,High
S100304,2021-22,1,55.6,0,False,Medium
S100305,2022-23,1,78.91,0,True,High
S100306,2021-22,2,77.63,0,True,High
S100307,2022-23,1,46.11,0,False,Low
S100308,2019-20,2,49.96,0,False,Low
S100309,2021-22,2,60.48,3,True,Medium
S100310,2020-21,2,52.02,2,False,Medium
S100311,2021-22,2,90.9,0,True,High
S100312,2019-20,1,62.0,2,True,Medium
S100313,2020-21,2,78.35,1,True,High
S100314,2022-23,2,72.7,0,True,High
S100315,2019-20,2,68.96,2,True,Medium
S100316,2020-21,1,65.6,0,True,Medium
S100317,2021-22,2,83.56,2,True,High
S100318,2022-23,2,52.62,0,False,Medium
S100319,2021-22,2,90.9,0,True,High
S100320,2020-21,1,45.69,0,False,Low
S100321,2020-21,1,76.72,0,True,High
S100322,2019-20,1,43.92,0,False,Low
S100323,2022-23,2,60.26,2,True,Medium
S100324,2022-23,1,66.4,1,True,Medium
S100325,2020-21,1,57.7,0,False,Medium
S100326,2019-20,1,62.27,0,True,Medium
S100327,2020-21,2,44.2,2,False,Low
S100328,2020-21,1,50.19,0,False,Medium
S100329,2022-23,2,72.47,0,True,High
S100330,2021-22,2,65.45,2,True,Medium
S100331,2021-22,2,54.64,2,False,Medium
S100332,2022-23,2,84.86,1,True,High
S100333,2019-20,1,46.7,0,False,Low
S100334,2022-23,1,59.58,0,False,Medium
S100335,2019-20,2,57.42,1,False,Medium
S100336,2022-23,2,74.23,2,True,High
S100337,2019-20,2,65.72,3,True,Medium
S100338,2020-21,2,63.38,0,True,Medium
S100339,2020-21,1,37.34,2,False,Low
S100340,2019-20,1,77.98,0,True,High
S100341,2022-23,2,61.73,0,True,Medium
S100342,2020-21,1,66.73,0,True,Medium
S100343,2022-23,1,53.77,3,False,Medium
S100344,2021-22,1,51.41,0,False,Medium
S100345,2020-21,1,87.49,0,True,High
S100346,2022-23,2,38.4,2,False,Low
S100347,2022-23,1,49.19,0,False,Low
S100348,2021-22,2,87.21,0,True,High
S100349,2022-23,1,74.61,1,True,High
S100350,2019-20,1,60.12,1,True,Medium
S100351,2020-21,2,83.7,0,True,High
S100352,2019-20,1,71.7,2,True,High
S100353,2021-22,2,68.49,0,True,Medium
S100354,2019-20,1,68.38,2,True,Medium
S100355,2022-23,2,71.98,1,True,High
S100356,2021-22,1,72.59,0,True,High
S100357,2021-22,2,95.0,2,True,High
S100358,2019-20,1,62.08,0,True,Medium
S100359,2021-22,2,62.54,0,True,Medium
S100360,2019-20,1,46.45,2,False,Low
S100361,2019-20,2,64.22,0,True,Medium
S100362,2019-20,2,92.94,0,True,High
S100363,2021-22,1,79.77,0,True,High
S100364,2021-22,2,56.84,0,False,Medium
S100365,2020-21,2,65.45,2,True,Medium
S100366,2019-20,1,45.55,2,False,Low
S100367,2019-20,1,50.46,0,False,Medium
S100368,2019-20,1,67.24,0,True,Medium
S100369,2019-20,2,57.58,0,False,Medium
S100370,2019-20,2,49.33,0,False,Low
S100371,2019-20,1,72.35,0,True,High
S100372,2019-20,2,63.77,0,True,Medium
S100373,2020-21,1,41.49,0,False,Low
S100374,2020-21,2,33.87,1,False,Low
S100375,2022-23,1,56.45,2,False,Medium
S100376,2019-20,2,41.18,1,False,Low
S100377,2019-20,1,36.97,1,False,Low
S100378,2020-21,1,81.93,0,True,High
S100379,2020-21,1,63.53,2,True,Medium
S100380,2019-20,2,61.02,2,True,Medium
S100381,2019-20,2,62.17,2,True,Medium
S100382,2020-21,2,47.93,0,False,Low
S100383,2020-21,1,71.16,1,True,High
S100384,2022-23,2,63.04,1,True,Medium
S100385,2022-23,2,53.64,0,False,Medium
S100386,2019-20,1,55.89,3,False,Medium
S100387,2020-21,1,46.59,0,False,Low
S100388,2022-23,1,58.91,0,False,Medium
S100389,2019-20,1,61.41,0,True,Medium
S100390,2022-23,2,58.52,0,False,Medium
S100391,2022-23,1,65.83,2,True,Medium
S100392,2022-23,2,63.82,0,True,Medium
S100393,2021-22,1,68.46,0,True,Medium
S100394,2019-20,2,79.15,1,True,High
S100395,2022-23,1,73.9,0,True,High
S100396,2019-20,1,79.32,1,True,High
S100397,2019-20,1,52.28,1,False,Medium
S100398,2020-21,1,57.37,0,False,Medium
S100399,2019-20,1,74.8,3,True,High
S100400,2022-23,2,75.07,0,True,High
S100401,2019-20,2,54.82,1,False,Medium
S100402,2020-21,2,74.17,2,True,High
S100403,2021-22,2,50.85,1,False,Medium
S100404,2021-22,2,72.22,0,True,High
S100405,2020-21,1,64.61,0,True,Medium
S100406,2022-23,1,44.23,1,False,Low
S100407,2022-23,2,58.49,3,False,Medium
S100408,2022-23,2,95.0,0,True,High
S100409,2019-20,2,68.04,0,True,Medium
S100410,2021-22,2,95.0,0,True,High
S100411,2022-23,2,43.34,1,False,Low
S100412,2021-22,1,76.26,0,True,High
S100413,2020-21,2,30.0,2,False,Low
S100414,2021-22,1,65.0,2,True,Medium
S100415,2022-23,2,74.47,0,True,High
S100416,2021-22,1,77.57,0,True,High
S100417,2020-21,2,53.01,1,False,Medium
S100418,2021-22,2,80.59,0,True,High
S100419,2019-20,1,56.99,0,False,Medium
S100420,2020-21,1,62.54,0,True,Medium
S100421,2019-20,1,58.5,0,False,Medium
S100422,2019-20,2,47.95,0,False,Low
S100423,2022-23,2,88.55,2,True,High
S100424,2022-23,2,65.72,1,True,Medium
S100425,2020-21,2,81.31,3,True,High
S100426,2022-23,1,80.67,0,True,High
S100427,2021-22,1,50.48,0,False,Medium
S100428,2020-21,1,83.24,0,True,High
S100429,2022-23,1,72.55,0,True,High
S100430,2022-23,1,49.39,0,False,Low
S100431,2021-22,1,71.73,0,True,High
S100432,2019-20,1,49.66,0,False,Low
S100433,2021-22,2,89.1,0,True,High
S100434,2019-20,2,77.21,0,True,High
S100435,2022-23,1,63.93,0,True,Medium
S100436,2019-20,1,83.97,0,True,High
S100437,2019-20,2,41.27,2,False,Low
S100438,2022-23,1,53.76,0,False,Medium
S100439,2020-21,2,61.21,0,True,Medium
S100440,2021-22,2,95.0,0,True,High
S100441,2022-23,1,48.94,0,False,Low
S100442,2021-22,2,39.39,2,False,Low
S100443,2021-22,2,43.33,0,False,Low
S100444,2019-20,2,78.59,1,True,High
S100445,2022-23,1,56.09,0,False,Medium
S100446,2020-21,1,62.61,1,True,Medium
S100447,2021-22,2,76.44,2,True,High
S100448,2021-22,1,62.63,2,True,Medium
S100449,2020-21,2,68.06,0,True,Medium
S100450,2021-22,2,73.03,2,True,High
S100451,2022-23,1,58.54,0,False,Medium
S100452,2020-21,2,62.51,0,True,Medium
S100453,2022-23,2,68.63,1,True,Medium
S100454,2020-21,2,78.02,3,True,High
S100455,2021-22,2,53.11,0,False,Medium
S100456,2020-21,2,30.0,1,False,Low
S100457,2022-23,2,75.19,0,True,High
S100458,2020-21,2,78.92,0,True,High
S100459,2021-22,1,68.0,2,True,Medium
S100460,2019-20,1,69.02,0,True,Medium
S100461,2021-22,2,56.54,0,False,Medium
S100462,2021-22,1,72.5,0,True,High
S100463,2019-20,2,77.8,1,True,High
S100464,2020-21,2,65.85,0,True,Medium
S100465,2021-22,2,95.0,0,True,High
S100466,2019-20,2,41.54,0,False,Low
S100467,2022-23,1,67.44,2,True,Medium
S100468,2019-20,2,47.38,1,False,Low
S100469,2021-22,2,78.2,1,True,High
S100470,2022-23,1,41.28,1,False,Low
S100471,2021-22,1,44.99,0,False,Low
S100472,2019-20,1,55.5,0,False,Medium
S100473,2022-23,1,68.99,0,True,Medium
S100474,2021-22,1,56.07,0,False,Medium
S100475,2019-20,1,56.22,0,False,Medium
S100476,2022-23,2,62.29,1,True,Medium
S100477,2021-22,2,61.37,0,True,Medium
S100478,2019-20,1,87.31,0,True,High
S100479,2021-22,1,75.29,0,True,High
S100480,2021-22,2,60.13,0,True,Medium
S100481,2021-22,1,95.0,0,True,High
S100482,2020-21,1,72.37,1,True,High
S100483,2021-22,1,50.47,0,False,Medium
S100484,2022-23,2,68.85,0,True,Medium
S100485,2019-20,1,73.03,1,True,High
S100486,2019-20,2,54.69,0,False,Medium
S100487,2020-21,2,49.21,1,False,Low
S100488,2020-21,2,66.3,0,True,Medium
S100489,2020-21,1,59.6,2,False,Medium
S100490,2021-22,1,87.19,0,True,High
S100491,2021-22,2,76.12,1,True,High
S100492,2022-23,2,55.39,0,False,Medium
S100493,2019-20,1,71.39,0,True,High
S100494,2019-20,2,84.01,1,True,High
S100495,2021-22,1,44.09,0,False,Low
S100496,2019-20,2,49.66,0,False,Low
S100497,2021-22,1,64.83,0,True,Medium
S100498,2020-21,1,65.53,0,True,Medium
S100499,2021-22,2,64.22,1,True,Medium
S100500,2022-23,2,60.34,1,True,Medium
S100501,2021-22,1,60.11,0,True,Medium
S100502,2021-22,2,70.76,0,True,High
S100503,2019-20,2,82.01,2,True,High
S100504,2021-22,2,57.79,0,False,Medium
S100505,2022-23,1,95.0,1,True,High
S100506,2021-22,2,94.41,0,True,High
S100507,2021-22,2,84.94,2,True,High
S100508,2020-21,2,74.34,0,True,High
S100509,2021-22,2,95.0,0,True,High
S100510,2021-22,1,60.65,0,True,Medium
S100511,2021-22,2,52.51,1,False,Medium
S100512,2022-23,1,57.11,0,False,Medium
S100513,2019-20,1,49.96,1,False,Low
S100514,2020-21,2,66.83,0,True,Medium
S100515,2020-21,2,69.5,0,True,Medium
S100516,2021-22,1,68.01,2,True,Medium
S100517,2021-22,2,64.81,0,True,Medium
S100518,2019-20,2,67.0,0,True,Medium
S100519,2021-22,1,91.04,0,True,High
S100520,2022-23,2,74.3,3,True,High
S100521,2019-20,2,78.84,0,True,High
S100522,2021-22,2,67.86,0,True,Medium
S100523,2019-20,1,40.77,0,False,Low
S100524,2020-21,2,37.79,0,False,Low
S100525,2021-22,1,95.0,0,True,High
S100526,2019-20,1,57.02,2,False,Medium
S100527,2019-20,1,55.75,0,False,Medium
S100528,2021-22,2,68.68,1,True,Medium
S100529,2019-20,2,73.26,0,True,High
S100530,2021-22,1,75.15,2,True,High
S100531,2021-22,1,91.62,3,True,High
S100532,2022-23,2,87.51,0,True,High
S100533,2022-23,2,52.84,0,False,Medium
S100534,2019-20,1,79.53,1,True,High
S100535,2019-20,2,59.24,0,False,Medium
S100536,2019-20,1,62.94,0,True,Medium
S100537,2020-21,1,48.59,3,False,Low
S100538,2021-22,2,39.6,0,False,Low
S100539,2021-22,2,64.53,0,True,Medium
S100540,2020-21,2,50.66,2,False,Medium
S100541,2020-21,1,78.92,0,True,High
S100542,2019-20,2,60.78,0,True,Medium
S100543,2021-22,2,69.63,0,True,Medium
S100544,2022-23,1,85.51,0,True,High
S100545,2022-23,1,42.72,2,False,Low
S100546,2020-21,2,54.13,2,False,Medium
S100547,2020-21,2,67.71,0,True,Medium
S100548,2021-22,1,69.69,2,True,Medium
S100549,2021-22,1,81.55,0,True,High
S100550,2022-23,2,78.01,1,True,High
S100551,2021-22,2,66.45,0,True,Medium
S100552,2019-20,1,69.55,0,True,Medium
S100553,2020-21,2,69.97,0,True,Medium
S100554,2022-23,1,42.95,0,False,Low
S100555,2022-23,1,62.65,0,True,Medium
S100556,2019-20,2,68.73,0,True,Medium
S100557,2021-22,2,71.88,3,True,High
S100558,2021-22,1,51.13,3,False,Medium
S100559,2020-21,1,45.97,2,False,Low
S100560,2019-20,1,61.48,0,True,Medium
S100561,2022-23,2,94.51,0,True,High
S100562,2019-20,1,52.71,0,False,Medium
S100563,2022-23,1,82.61,0,True,High
S100564,2019-20,1,88.77,0,True,High
S100565,2021-22,2,65.68,0,True,Medium
S100566,2022-23,1,54.8,0,False,Medium
S100567,2020-21,2,72.69,2,True,High
S100568,2019-20,2,67.92,1,True,Medium
S100569,2021-22,1,52.11,0,False,Medium
S100570,2022-23,1,55.12,1,False,Medium
S100571,2021-22,1,71.8,0,True,High
S100572,2019-20,2,79.0,0,True,High
S100573,2020-21,1,60.16,0,True,Medium
S100574,2020-21,2,63.96,1,True,Medium
S100575,2019-20,2,75.03,0,True,High
S100576,2022-23,2,62.41,0,True,Medium
S100577,2021-22,2,60.51,0,True,Medium
S100578,2021-22,2,53.67,0,False,Medium
S100579,2022-23,2,53.41,0,False,Medium
S100580,2019-20,1,95.0,1,True,High
S100581,2021-22,1,62.06,0,True,Medium
S100582,2021-22,2,85.48,1,True,High
S100583,2019-20,2,90.26,0,True,High
S100584,2021-22,1,62.25,0,True,Medium
S100585,2022-23,1,70.53,1,True,High
S100586,2022-23,1,66.54,0,True,Medium
S100587,2019-20,1,40.82,0,False,Low
S100588,2019-20,2,41.72,0,False,Low
S100589,2022-23,1,65.73,1,True,Medium
S100590,2019-20,2,58.63,1,False,Medium
S100591,2022-23,2,93.37,0,True,High
S100592,2022-23,1,61.45,0,True,Medium
S100593,2022-23,1,94.26,1,True,High
S100594,2021-22,2,57.85,0,False,Medium
S100595,2019-20,2,93.68,0,True,High
S100596,2021-22,2,72.6,1,True,High
S100597,2019-20,2,73.45,1,True,High
S100598,2020-21,1,57.32,0,False,Medium
S100599,2021-22,1,73.65,1,True,High
S100600,2021-22,1,90.39,0,True,High
S100601,2021-22,1,62.83,1,True,Medium
S100602,2020-21,1,59.91,0,False,Medium
S100603,2019-20,2,61.3,0,True,Medium
S100604,2020-21,2,89.3,0,True,High
S100605,2019-20,1,77.83,0,True,High
S100606,2019-20,1,86.72,0,True,High
S100607,2019-20,2,69.7,1,True,Medium
S100608,2019-20,2,65.59,0,True,Medium
S100609,2019-20,1,71.36,1,True,High
S100610,2020-21,1,81.05,0,True,High
S100611,2021-22,2,61.29,1,True,Medium
S100612,2020-21,1,85.53,0,True,High
S100613,2021-22,1,70.49,0,True,High
S100614,2021-22,2,30.0,0,False,Low
S100615,2022-23,2,78.25,0,True,High
S100616,2021-22,2,45.92,0,False,Low
S100617,2020-21,1,77.89,0,True,High
S100618,2022-23,2,78.52,3,True,High
S100619,2019-20,1,69.95,2,True,Medium
S100620,2019-20,2,73.16,2,True,High
S100621,2021-22,1,81.48,0,True,High
S100622,2019-20,1,57.57,2,False,Medium
S100623,2019-20,2,76.9,0,True,High
S100624,2022-23,1,82.45,0,True,High
S100625,2020-21,1,91.4,0,True,High
S100626,2019-20,2,48.41,0,False,Low
S100627,2019-20,1,71.13,0,True,High
S100628,2020-21,2,50.58,0,False,Medium
