student_id,family_income_band,parental_education,access_to_internet,working_part_time,scholarship_status
S100068,Middle,Post Graduate,True,False,False
S100069,Low,High School,True,True,False
S100070,High,Graduate,False,True,True
S100071,High,Post Graduate,True,False,False
S100072,High,Post Graduate,True,True,False
S100073,Middle,Post Graduate,True,True,True
S100074,Middle,Post Graduate,True,True,False
S100075,High,No Formal Education,True,False,False
S100076,Low,Graduate,False,False,False
S100077,High,No Formal Education,True,False,False
S100078,Low,Post Graduate,True,False,True
S100079,Low,Graduate,True,False,False
S100080,Low,No Formal Education,True,True,True
S100081,Middle,High School,True,False,False
S100082,Low,High School,False,False,False
S100083,Low,Post Graduate,True,False,True
S100084,Middle,High School,False,False,True
S100085,Middle,Graduate,False,True,True
S100086,High,Post Graduate,False,False,True
S100087,Low,High School,True,False,True
S100088,Low,Graduate,True,False,False
S100089,Low,No Formal Education,True,True,True
S100090,Middle,No Formal Education,True,True,False
S100091,Low,Graduate,True,False,False
S100092,Low,High School,False,False,False
S100093,Middle,Graduate,False,True,True
S100094,High,Graduate,True,False,False
S100095,Low,Graduate,False,True,False
S100096,Middle,No Formal Education,True,True,False
S100097,Low,No Formal Education,True,False,False
S100098,Low,No Formal Education,True,False,False
S100099,Low,High School,True,False,False
S100100,Middle,Post Graduate,True,False,False
S100101,Middle,No Formal Education,True,False,False
S100102,High,No Formal Education,True,False,False
S100103,High,Graduate,True,False,True
S100104,Middle,High School,True,False,False
S100105,Low,Graduate,True,True,False
S100106,High,Graduate,True,True,False
S100107,Middle,Graduate,True,False,False
S100108,Middle,Graduate,True,False,False
S100109,Low,No Formal Education,True,True,True
S100110,Middle,High School,True,False,False
S100111,High,No Formal Education,True,True,False
S100112,Middle,Post Graduate,False,True,False
S100113,Middle,Graduate,True,False,True
S100114,Middle,No Formal Education,True,False,False
S100115,Middle,High School,True,True,True
S100116,High,Post Graduate,True,False,False
S100117,Middle,No Formal Education,False,False,False
S100118,High,No Formal Education,True,False,False
S100119,High,Post Graduate,True,False,False
S100120,Middle,High School,True,True,False
S100121,Low,Post Graduate,True,False,True
S100122,Low,Post Graduate,False,False,False
S100123,High,Graduate,True,False,True
S100124,Low,Graduate,True,False,False
S100125,Low,Post Graduate,True,True,False
S100126,Middle,Graduate,True,False,False
S100127,Low,High School,True,False,True
S100128,Middle,No Formal Education,True,False,True
S100129,Middle,Post Graduate,True,False,False
S100130,Low,Graduate,True,False,False
S100131,Middle,High School,True,False,True
S100132,Middle,High School,False,False,False
S100133,Middle,High School,True,False,True
S100134,Low,Post Graduate,True,False,False
S100135,High,Graduate,True,True,False
S100136,Middle,High School,True,False,True
S100137,Low,Graduate,False,False,False
S100138,Middle,No Formal Education,True,False,True
S100139,High,High School,True,False,False
S100140,Middle,High School,False,False,False
S100141,Middle,Graduate,True,False,False
S100142,Middle,Graduate,False,False,False
S100143,Low,Graduate,True,False,False
S100144,Low,No Formal Education,True,False,False
S100145,Low,Post Graduate,True,True,False
S100146,Low,Graduate,False,False,True
S100147,Middle,High School,True,False,False
S100148,Low,No Formal Education,True,False,False
S100149,High,Graduate,True,False,False
S100150,High,Graduate,True,False,False
S100151,Middle,High School,True,False,True
S100152,Middle,High School,True,True,True
S100153,Low,Graduate,True,False,False
S100154,Middle,No Formal Education,True,False,False
S100155,Middle,Graduate,True,False,False
S100156,Low,Post Graduate,True,False,False
S100157,Low,No Formal Education,True,False,False
S100158,Middle,High School,True,False,False
S100159,Middle,High School,True,False,False
S100160,Middle,No Formal Education,True,False,False
S100161,High,No Formal Education,True,False,False
S100162,Middle,High School,False,True,False
S100163,Low,Post Graduate,True,False,True
S100164,Middle,No Formal Education,True,False,False
S100165,Middle,High School,False,False,False
S100166,Middle,Graduate,True,False,False
S100167,High,No Formal Education,True,False,False
S100168,Low,Post Graduate,False,False,False
S100169,Low,No Formal Education,True,False,True
S100170,Middle,Post Graduate,False,True,False
S100171,Low,High School,True,True,False
S100172,Middle,No Formal Education,False,True,False
S100173,Middle,No Formal Education,True,False,False
S100174,Low,Post Graduate,False,True,False
S100175,Middle,Post Graduate,True,False,True
S100176,Middle,Graduate,True,False,True
S100177,Low,Post Graduate,False,False,True
S100178,Middle,High School,True,False,False
S100179,Middle,No Formal Education,False,True,False
S100180,Middle,Post Graduate,True,False,True
S100181,Middle,Graduate,False,False,True
S100182,Middle,Graduate,True,True,False
S100183,Low,Post Graduate,False,False,True
S100184,Middle,Graduate,True,False,False
S100185,Middle,No Formal Education,True,True,False
S100186,Middle,High School,True,False,False
S100187,Low,Graduate,False,False,False
S100188,Low,Post Graduate,False,False,False
S100189,High,Post Graduate,True,True,False
S100190,Low,No Formal Education,True,False,False
S100191,Middle,High School,True,False,False
S100192,Middle,Post Graduate,True,True,False
S100193,Middle,High School,True,False,False
S100194,Low,Graduate,True,True,False
S100195,Low,No Formal Education,True,False,False
S100196,Low,Graduate,True,False,False
S100197,Middle,High School,True,True,False
S100198,High,Post Graduate,True,False,True
S100199,Low,Post Graduate,True,False,True
S100200,Middle,No Formal Education,True,True,False
S100201,Low,Graduate,False,False,True
S100202,High,High School,True,True,True
S100203,Middle,Post Graduate,True,False,True
S100204,Low,Post Graduate,False,False,True
S100205,Middle,No Formal Education,True,False,False
S100206,Middle,No Formal Education,False,False,True
S100207,Low,Graduate,False,False,False
S100208,Low,Post Graduate,True,False,True
S100209,Low,Graduate,False,True,False
S100210,Middle,High School,True,False,False
S100211,High,Graduate,True,False,False
S100212,Low,No Formal Education,True,False,False
S100213,Middle,Graduate,True,False,False
S100214,Low,No Formal Education,True,False,False
S100215,Low,Post Graduate,False,False,True
S100216,Middle,High School,True,False,False
S100217,Middle,Post Graduate,False,False,False
S100218,Low,Graduate,False,False,True
S100219,Middle,Post Graduate,True,True,False
S100220,Low,No Formal Education,True,True,False
S100221,Middle,Post Graduate,False,False,True
S100222,Middle,High School,True,False,False
S100223,Low,No Formal Education,False,False,True
S100224,Middle,High School,True,True,True
S100225,Low,Graduate,True,False,False
S100226,Low,High School,True,True,True
S100227,Low,No Formal Education,True,True,True
S100228,Low,No Formal Education,True,False,False
S100229,Low,High School,False,False,False
S100230,Middle,Post Graduate,True,False,False
S100231,Low,Graduate,True,True,False
S100232,Low,No Formal Education,True,False,False
S100233,High,Graduate,True,False,False
S100234,Middle,Post Graduate,True,False,False
S100235,Low,High School,True,False,False
S100236,Middle,High School,True,False,True
S100237,Middle,No Formal Education,True,False,False
S100238,Low,No Formal Education,False,False,False
S100239,Low,Graduate,False,False,False
S100240,High,Post Graduate,True,True,True
S100241,Middle,High School,True,False,False
S100242,Middle,Graduate,True,False,True
S100243,Middle,Graduate,True,False,True
S100244,Middle,Graduate,True,False,True
S100245,Middle,Post Graduate,True,True,False
S100246,Middle,High School,True,True,True
S100247,Middle,High School,True,True,False
S100248,Low,Post Graduate,True,False,False
S100249,Middle,Post Graduate,True,False,True
S100250,Middle,Graduate,True,False,False
S100251,Low,Graduate,True,False,True
S100252,Middle,Graduate,True,False,False
S100253,High,Post Graduate,True,False,False
S100254,High,High School,False,False,False
S100255,Middle,High School,True,False,True
S100256,Low,High School,True,False,False
S100257,Low,Graduate,False,True,False
S100258,Low,High School,True,False,False
S100259,Middle,Graduate,True,False,False
S100260,Middle,Post Graduate,True,False,False
S100261,High,No Formal Education,True,False,True
S100262,High,Post Graduate,True,False,False
S100263,Low,Graduate,True,False,False
S100264,Low,High School,True,False,True
S100265,High,No Formal Education,False,False,False
S100266,High,No Formal Education,True,True,True
S100267,Middle,No Formal Education,False,False,False
S100268,Middle,Post Graduate,True,False,False
S100269,Middle,No Formal Education,True,False,False
S100270,Middle,Graduate,True,False,False
S100271,Low,Graduate,False,False,False
S100272,Middle,Post Graduate,True,True,False
S100273,Middle,High School,False,False,False
S100274,Low,High School,True,True,False
S100275,High,Post Graduate,False,False,True
S100276,Low,High School,True,True,True
S100277,Middle,High School,True,True,False
S100278,Middle,No Formal Education,False,False,False
S100279,Middle,Post Graduate,False,True,False
S100280,Low,Post Graduate,False,True,False
S100281,Middle,High School,True,False,True
S100282,Low,High School,False,False,False
S100283,Low,Post Graduate,True,False,True
S100284,Low,Graduate,False,True,False
S100285,Low,Post Graduate,False,False,True
S100286,High,No Formal Education,False,False,False
S100287,Middle,High School,True,False,False
S100288,Low,No Formal Education,False,False,False
S100289,High,Post Graduate,True,False,True
S100290,Low,High School,False,False,True
S100291,Low,Post Graduate,True,False,True
S100292,Low,Post Graduate,True,False,False
S100293,Middle,No Formal Education,True,False,True
S100294,Middle,No Formal Education,False,False,True
S100295,Low,Graduate,True,False,False
S100296,Low,High School,True,False,True
S100297,Middle,Post Graduate,True,False,False
S100298,Middle,High School,False,False,True
S100299,High,No Formal Education,True,False,False
S100300,Middle,High School,False,False,False
S100301,Middle,Graduate,True,True,False
S100302,Middle,Post Graduate,True,False,False
S100303,Middle,Post Graduate,False,False,False
S100304,Low,Post Graduate,True,False,False
S100305,Low,No Formal Education,True,False,True
S100306,Middle,Post Graduate,True,True,True
S100307,Middle,No Formal Education,False,False,True
S100308,Low,Graduate,False,False,False
S100309,Middle,Post Graduate,False,False,False
S100310,Low,High School,True,True,False
S100311,Low,No Formal Education,True,False,False
S100312,Low,No Formal Education,True,False,False
S100313,Low,High School,True,False,False
S100314,Middle,High School,False,False,False
S100315,Low,Graduate,True,False,False
S100316,Middle,No Formal Education,True,True,False
S100317,Low,Graduate,True,False,False
S100318,Middle,High School,True,False,True
S100319,Low,Post Graduate,True,False,False
S100320,Low,High School,False,False,True
S100321,Middle,High School,False,False,False
S100322,Middle,Graduate,False,False,True
S100323,Middle,Graduate,True,False,False
S100324,Low,High School,True,False,False
S100325,Middle,Graduate,True,False,False
S100326,Low,No Formal Education,False,False,True
S100327,Middle,Graduate,False,False,False
S100328,Low,Graduate,False,False,False
S100329,Middle,Post Graduate,True,False,True
S100330,Middle,Post Graduate,False,False,False
S100331,Middle,Post Graduate,True,False,True
S100332,High,No Formal Education,False,True,False
S100333,High,Graduate,True,True,False
S100334,Middle,Graduate,True,False,False
S100335,High,Post Graduate,True,True,False
S100336,Low,No Formal Education,False,True,True
S100337,Low,Graduate,True,False,False
S100338,Middle,Graduate,False,False,False
S100339,High,Graduate,True,False,False
S100340,Middle,Graduate,False,False,True
S100341,Low,No Formal Education,False,False,False
S100342,Middle,Post Graduate,True,False,True
S100343,Low,Post Graduate,False,True,False
S100344,Middle,No Formal Education,True,True,True
S100345,Low,Graduate,False,True,True
S100346,Low,Graduate,True,False,False
S100347,Low,No Formal Education,True,False,False
S100348,Middle,No Formal Education,True,False,False
S100349,Middle,High School,True,False,True
S100350,Low,No Formal Education,True,False,False
S100351,Middle,Graduate,True,True,False
S100352,Middle,No Formal Education,False,False,True
S100353,High,Post Graduate,True,False,False
S100354,High,Graduate,True,False,False
S100355,Low,No Formal Education,False,True,False
S100356,Low,No Formal Education,False,True,False
S100357,Low,No Formal Education,False,False,False
S100358,Middle,Graduate,True,False,False
S100359,Middle,No Formal Education,True,False,False
S100360,Low,No Formal Education,True,False,False
S100361,High,Post Graduate,True,False,False
S100362,Middle,High School,True,True,False
S100363,Middle,Post Graduate,False,False,False
S100364,Middle,High School,True,True,False
S100365,Middle,Post Graduate,False,True,False
S100366,Middle,No Formal Education,True,True,False
S100367,High,No Formal Education,True,False,False
S100368,Low,Graduate,False,True,False
S100369,Middle,Graduate,False,False,False
S100370,Low,Post Graduate,True,True,False
S100371,Middle,Post Graduate,False,True,True
S100372,Middle,High School,True,False,True
S100373,Low,Graduate,True,False,False
S100374,Low,Post Graduate,True,False,False
S100375,Low,No Formal Education,True,True,False
S100376,Low,Post Graduate,False,False,True
S100377,Middle,High School,True,True,True
S100378,High,Graduate,True,False,True
S100379,Low,Graduate,True,False,False
S100380,Low,No Formal Education,True,True,True
S100381,Middle,Graduate,True,False,False
S100382,Low,Graduate,True,False,False
S100383,Low,High School,True,False,False
S100384,Middle,Graduate,False,False,False
S100385,High,Post Graduate,True,False,False
S100386,High,No Formal Education,True,False,False
S100387,Low,Graduate,True,False,False
S100388,Low,Post Graduate,False,False,False
S100389,Middle,No Formal Education,True,True,True
S100390,Low,No Formal Education,True,False,True
S100391,Middle,High School,True,False,False
S100392,Middle,Graduate,True,False,False
S100393,Low,No Formal Education,False,True,True
S100394,Low,No Formal Education,True,False,False
S100395,High,No Formal Education,True,False,False
S100396,Middle,No Formal Education,True,False,False
S100397,Middle,High School,True,False,False
S100398,Middle,No Formal Education,True,True,False
S100399,Middle,No Formal Education,True,False,True
S100400,Low,High School,True,False,False
S100401,Middle,High School,False,False,False
S100402,Middle,High School,True,True,False
S100403,Low,No Formal Education,False,False,False
S100404,Low,Post Graduate,False,False,False
S100405,Middle,Post Graduate,False,True,False
S100406,Middle,No Formal Education,False,True,True
S100407,Middle,Graduate,False,False,False
S100408,Middle,Graduate,False,False,True
S100409,Middle,Graduate,True,False,False
S100410,Middle,High School,True,True,False
S100411,Middle,Graduate,True,True,True
S100412,Low,Graduate,True,False,False
S100413,Low,High School,True,False,True
S100414,Middle,Post Graduate,False,False,False
S100415,Middle,No Formal Education,False,False,False
S100416,High,Post Graduate,True,False,False
S100417,Middle,High School,True,False,False
S100418,Middle,Graduate,True,False,False
S100419,Low,Graduate,True,False,False
S100420,Middle,Post Graduate,True,True,True
S100421,Low,High School,False,True,True
S100422,Middle,High School,False,False,False
S100423,Low,Post Graduate,True,False,True
S100424,Low,Graduate,True,True,False
S100425,Middle,High School,False,False,False
S100426,Low,Post Graduate,True,True,False
S100427,Middle,Graduate,True,True,False
S100428,Middle,Graduate,False,False,True
S100429,Middle,Graduate,True,True,False
S100430,Low,No Formal Education,True,False,False
S100431,Low,High School,False,False,True
S100432,Middle,High School,True,True,True
S100433,Low,Graduate,True,False,False
S100434,High,No Formal Education,True,False,False
S100435,Low,High School,True,False,False
S100436,Middle,High School,True,False,False
S100437,Low,No Formal Education,True,False,True
S100438,Middle,High School,True,True,False
S100439,High,High School,False,False,False
S100440,Middle,Post Graduate,True,False,True
S100441,Middle,High School,True,False,False
S100442,Low,No Formal Education,True,False,True
S100443,High,No Formal Education,False,True,False
S100444,Middle,Graduate,False,False,False
S100445,Low,Post Graduate,False,False,True
S100446,Low,Graduate,False,True,True
S100447,Low,Post Graduate,True,False,False
S100448,Low,Post Graduate,True,False,False
S100449,High,Graduate,False,False,False
S100450,Low,High School,True,False,False
S100451,Low,Post Graduate,True,False,True
S100452,Middle,Graduate,True,False,False
S100453,Middle,Graduate,True,False,False
S100454,Low,Graduate,True,False,False
S100455,Low,Graduate,False,True,False
S100456,Low,Graduate,True,False,False
S100457,Middle,High School,True,False,False
S100458,Low,No Formal Education,True,False,False
S100459,High,High School,False,True,False
S100460,Middle,No Formal Education,True,False,False
S100461,Middle,Post Graduate,True,False,False
S100462,High,Post Graduate,True,True,False
S100463,Middle,Graduate,False,True,False
S100464,Middle,High School,True,True,True
S100465,Low,Graduate,True,False,False
S100466,Middle,High School,True,False,False
S100467,Low,Post Graduate,False,False,False
S100468,Middle,High School,True,True,True
S100469,Middle,Graduate,True,False,False
S100470,Middle,Graduate,False,True,False
S100471,High,Post Graduate,False,True,False
S100472,Middle,No Formal Education,True,False,False
S100473,Low,Post Graduate,True,False,False
S100474,Middle,Graduate,True,True,False
S100475,High,Post Graduate,True,False,True
S100476,Middle,No Formal Education,True,True,True
S100477,Low,Graduate,True,False,True
S100478,High,No Formal Education,False,False,False
S100479,Low,High School,True,False,True
S100480,High,High School,True,False,False
S100481,Low,Post Graduate,True,False,False
S100482,High,Graduate,False,False,False
S100483,Low,High School,False,False,False
S100484,Middle,Graduate,False,False,False
S100485,Middle,Graduate,True,False,False
S100486,Middle,Graduate,True,False,False
S100487,Middle,No Formal Education,True,True,False
S100488,Middle,Post Graduate,False,False,True
S100489,Low,No Formal Education,True,False,False
S100490,Low,Graduate,True,False,False
S100491,Middle,High School,True,False,False
S100492,Middle,High School,True,False,True
S100493,Low,High School,False,False,True
S100494,Low,Post Graduate,True,False,True
S100495,Middle,No Formal Education,True,False,False
S100496,Middle,No Formal Education,True,True,False
S100497,High,Post Graduate,False,False,False
S100498,Low,No Formal Education,False,False,False
S100499,High,Post Graduate,True,False,True
S100500,High,Post Graduate,True,False,False
S100501,Low,High School,True,False,False
S100502,Middle,Post Graduate,True,True,False
S100503,Middle,High School,True,False,False
S100504,Middle,High School,True,False,False
S100505,Middle,High School,True,False,False
S100506,Middle,No Formal Education,True,False,False
S100507,Low,Post Graduate,True,False,False
S100508,Low,Graduate,False,False,True
S100509,Low,High School,False,False,False
S100510,Middle,High School,False,False,False
S100511,Low,No Formal Education,True,False,False
S100512,High,No Formal Education,True,True,False
S100513,Middle,High School,True,False,True
S100514,Middle,Graduate,False,False,False
S100515,High,No Formal Education,True,False,False
S100516,Low,No Formal Education,True,False,True
S100517,Low,Post Graduate,True,False,False
S100518,High,No Formal Education,True,True,False
S100519,Middle,No Formal Education,True,False,True
S100520,Low,Post Graduate,True,False,False
S100521,Low,High School,True,False,True
S100522,High,Post Graduate,True,False,False
S100523,Middle,Post Graduate,True,False,False
S100524,Low,High School,False,False,False
S100525,High,High School,True,False,True
S100526,Middle,Post Graduate,True,False,True
S100527,High,Graduate,True,False,True
S100528,Low,No Formal Education,True,False,True
S100529,Middle,No Formal Education,True,False,True
S100530,Low,No Formal Education,True,False,True
S100531,Middle,High School,True,False,False
S100532,Low,No Formal Education,True,False,False
S100533,Low,High School,True,False,True
S100534,Low,High School,False,False,True
S100535,Low,Graduate,True,True,True
S100536,High,No Formal Education,True,False,False
S100537,Low,High School,True,False,True
S100538,Middle,No Formal Education,True,False,True
S100539,Middle,High School,True,False,False
S100540,Middle,Post Graduate,True,False,False
S100541,Middle,High School,False,False,False
S100542,Middle,High School,True,False,True
S100543,High,High School,False,False,False
S100544,Middle,Post Graduate,True,False,False
S100545,High,Graduate,True,True,False
S100546,Middle,No Formal Education,False,False,False
S100547,Middle,Post Graduate,False,False,False
S100548,Middle,No Formal Education,True,True,True
S100549,Low,Post Graduate,True,False,False
S100550,Low,High School,True,True,True
S100551,Low,Post Graduate,True,False,False
S100552,Low,No Formal Education,False,False,False
S100553,Middle,No Formal Education,True,True,False
S100554,Low,No Formal Education,False,True,False
S100555,Middle,Graduate,True,True,False
S100556,High,Post Graduate,True,False,False
S100557,Middle,High School,True,False,False
S100558,Low,Post Graduate,False,False,False
S100559,Low,Graduate,True,False,False
S100560,High,No Formal Education,True,False,True
S100561,High,No Formal Education,True,False,True
S100562,High,Graduate,True,False,True
S100563,Low,Post Graduate,True,True,False
S100564,Low,High School,False,False,False
S100565,High,No Formal Education,True,False,False
S100566,Low,Graduate,True,True,True
S100567,Low,Graduate,True,True,False
S100568,Low,High School,True,True,True
S100569,High,Graduate,True,False,False
S100570,Middle,Graduate,False,False,False
S100571,High,Graduate,False,True,False
S100572,Low,No Formal Education,True,False,True
S100573,Middle,No Formal Education,False,True,False
S100574,Low,Post Graduate,False,True,False
S100575,Low,High School,True,False,False
S100576,Middle,Graduate,True,False,False
S100577,Middle,Graduate,False,False,False
S100578,Middle,No Formal Education,True,False,False
S100579,High,No Formal Education,True,True,True
S100580,Low,No Formal Education,True,False,False
S100581,Low,High School,True,False,False
S100582,Middle,No Formal Education,True,True,False
S100583,High,Graduate,False,False,False
S100584,Middle,Graduate,True,True,False
S100585,Middle,Graduate,False,False,True
S100586,Middle,Post Graduate,True,False,False
S100587,Low,High School,True,False,True
S100588,Low,Graduate,True,True,False
S100589,Middle,Graduate,False,False,True
S100590,High,Graduate,False,False,True
S100591,Middle,No Formal Education,False,False,True
S100592,Middle,Graduate,True,False,False
S100593,Middle,No Formal Education,True,False,False
S100594,Middle,No Formal Education,True,False,True
S100595,High,High School,True,False,True
S100596,Middle,High School,True,False,False
S100597,Low,Graduate,True,False,False
S100598,Middle,High School,True,False,False
S100599,Middle,No Formal Education,True,False,True
S100600,Middle,No Formal Education,True,False,False
S100601,High,Graduate,True,False,False
S100602,Low,Graduate,True,False,False
S100603,Middle,Graduate,True,False,False
S100604,Middle,No Formal Education,True,False,False
S100605,Low,No Formal Education,True,True,False
S100606,High,Graduate,True,False,False
S100607,Middle,Graduate,True,False,False
S100608,Middle,No Formal Education,True,True,False
S100609,High,High School,False,False,True
S100610,Low,No Formal Education,True,False,True
S100611,Middle,High School,True,False,False
S100612,Middle,Graduate,True,False,False
S100613,High,No Formal Education,True,False,True
S100614,Middle,Graduate,True,True,True
S100615,Middle,Graduate,True,False,True
S100616,Low,Graduate,True,True,False
S100617,High,Post Graduate,False,False,True
S100618,Middle,Post Graduate,False,False,False
S100619,Middle,No Formal Education,True,True,True
S100620,Low,Post Graduate,True,False,False
S100621,Middle,No Formal Education,True,True,True
S100622,Low,High School,True,False,False
S100623,High,No Formal Education,False,False,False
S100624,High,Post Graduate,False,True,False
S100625,Low,Post Graduate,True,False,False
S100626,Middle,High School,False,True,False
S100627,Middle,High School,True,False,False
S100628,High,No Formal Education,True,True,False
S100629,Middle,No Formal Education,True,False,True
S100630,High,Graduate,True,False,False
S100631,Low,Graduate,True,False,True
S100632,Low,No Formal Education,True,False,True
S100633,Middle,High School,False,False,False
S100634,Middle,No Formal Education,True,False,False
S100635,Low,Graduate,True,True,False
S100636,Low,High School,False,True,False
S100637,High,Graduate,True,True,False
S100638,Middle,No Formal Education,True,False,False
S100639,Low,No Formal Education,True,True,True
S100640,High,Post Graduate,True,False,False
S100641,Low,No Formal Education,False,True,True
S100642,Low,Post Graduate,True,False,False
S100643,Low,Post Graduate,True,False,True
S100644,High,Post Graduate,True,True,True
S100645,Middle,Post Graduate,True,True,False
S100646,Low,Graduate,True,False,False
S100647,Low,No Formal Education,True,False,True
S100648,Middle,No Formal Education,True,True,False
S100649,Middle,No Formal Education,True,True,False
S100650,High,Post Graduate,True,False,False
S100651,Middle,Graduate,True,False,False
S100652,Low,Graduate,True,False,False
S100653,Middle,Post Graduate,False,False,True
S100654,Low,Post Graduate,True,False,False
S100655,High,No Formal Education,True,False,False
S100656,Low,Graduate,True,False,False
S100657,Low,High School,True,True,False
S100658,Middle,High School,False,False,False
S100659,Low,High School,True,False,False
S100660,Low,High School,True,False,False
S100661,Middle,Post Graduate,True,False,False
S100662,Middle,No Formal Education,True,False,False
S100663,Middle,High School,True,False,False
S100664,High,No Formal Education,False,False,False
S100665,Middle,No Formal Education,True,False,False
S100666,High,Graduate,True,False,False
S100667,Low,High School,False,False,False
S100668,Low,No Formal Education,False,False,True
S100669,Middle,Graduate,True,False,False
S100670,Low,Post Graduate,True,False,True
S100671,Low,No Formal Education,False,False,False
S100672,High,No Formal Education,False,False,False
S100673,Middle,Graduate,True,False,False
S100674,Low,No Formal Education,True,False,False
S100675,Middle,Post Graduate,False,False,False
S100676,Low,Post Graduate,True,False,True
S100677,Middle,Graduate,False,False,False
S100678,Low,High School,True,True,False
S100679,Low,No Formal Education,False,False,False
S100680,Low,No Formal Education,True,False,False
S100681,High,High School,True,True,False
S100682,Low,Post Graduate,True,False,False
S100683,Middle,No Formal Education,True,False,False
S100684,Low,Graduate,False,False,False
S100685,Low,Graduate,False,False,False
S100686,Middle,Graduate,True,False,True
S100687,Middle,No Formal Education,True,True,False
S100688,Middle,High School,True,False,False
S100689,High,No Formal Education,True,False,False
S100690,Low,High School,True,False,False
S100691,Low,High School,True,False,False
S100692,High,No Formal Education,True,True,True
S100693,High,Post Graduate,False,False,False
S100694,Middle,High School,True,False,False
S100695,Middle,No Formal Education,True,False,False
S100696,Low,Post Graduate,False,True,False
S100697,Middle,Post Graduate,True,False,False
S100698,Low,No Formal Education,True,False,False
S100699,High,No Formal Education,True,False,False
S100700,Low,Post Graduate,True,False,False
S100701,Low,No Formal Education,True,True,False
S100702,Middle,Post Graduate,True,False,True
S100703,Low,Post Graduate,True,True,False
S100704,Middle,Post Graduate,True,False,False
S100705,High,Graduate,False,True,False
S100706,Middle,No Formal Education,True,True,False
S100707,High,Graduate,True,False,False
S100708,Low,No Formal Education,True,False,True
S100709,Low,High School,True,False,False
S100710,High,Graduate,False,False,False
S100711,Low,No Formal Education,True,False,False
S100712,Middle,No Formal Education,False,False,True
S100713,Middle,Post Graduate,True,False,True
S100714,Middle,High School,True,True,True
S100715,Middle,High School,True,False,False
S100716,Middle,No Formal Education,True,True,False
S100717,High,High School,False,False,False
S100718,Low,High School,False,False,False
S100719,Middle,Graduate,True,False,False
S100720,Low,High School,True,False,False
S100721,Middle,High School,True,True,True
S100722,Low,Post Graduate,False,False,True
S100723,Middle,Post Graduate,False,False,False
S100724,Low,Graduate,True,False,True
S100725,Low,No Formal Education,False,False,False
S100726,Middle,Post Graduate,True,False,True
S100727,Low,Graduate,True,False,True
S100728,Middle,High School,False,False,True
S100729,Middle,Graduate,True,False,True
S100730,Low,Post Graduate,True,False,False
S100731,Low,High School,True,True,False
S100732,High,Graduate,True,True,False
S100733,High,Post Graduate,True,False,False
S100734,Low,Graduate,True,False,False
S100735,Low,No Formal Education,True,False,False
S100736,Low,High School,True,False,False
S100737,Middle,Graduate,True,True,True
S100738,Middle,Graduate,False,False,True
S100739,Low,High School,True,False,False
S100740,Low,Post Graduate,True,True,False
