student_id,gender,date_of_birth,region,school_id,grade_level,enrollment_year,program_type
S100031,Male,2006-11-05,West,SCH_9,10,2019,Science
S100032,Female,2007-03-30,Central,SCH_5,11,2021,Commerce
S100033,Female,2006-10-29,South,SCH_5,6,2019,Arts
S100034,Female,2006-03-07,West,SCH_11,12,2023,Commerce
S100035,Male,2007-07-24,East,SCH_20,11,2019,Commerce
S100036,Female,2006-06-07,South,SCH_4,12,2020,Commerce
S100037,Male,2005-04-16,South,SCH_20,11,2022,Commerce
S100038,Male,2004-10-23,West,SCH_18,10,2021,Science
S100039,Male,2005-08-12,South,SCH_3,11,2020,Science
S100040,Male,2002-09-16,Central,SCH_4,12,2022,Arts
S100041,Male,2004-03-21,Central,SCH_14,11,2023,Arts
S100042,Female,2003-01-21,West,SCH_7,8,2023,Commerce
S100043,Female,2007-01-11,East,SCH_8,9,2023,Commerce
S100044,Female,2001-05-07,West,SCH_16,6,2019,Arts
S100045,Female,2001-09-11,Central,SCH_20,12,2023,Arts
S100046,Female,2008-11-06,North,SCH_15,9,2023,Arts
S100047,Male,2006-07-06,North,SCH_7,6,2019,Arts
S100048,Female,2006-07-08,South,SCH_17,8,2022,Commerce
S100049,Female,2005-09-28,South,SCH_12,10,2020,Arts
S100050,Male,2004-03-26,North,SCH_18,12,2021,Science
S100051,Female,2002-05-12,Central,SCH_14,6,2023,Commerce
S100052,Male,2004-08-18,South,SCH_15,6,2023,Science
S100053,Female,2004-05-24,West,SCH_15,6,2023,Arts
S100054,Male,2006-05-08,West,SCH_5,8,2019,Science
S100055,Female,2001-08-02,Central,SCH_16,9,2019,Arts
S100056,Female,2005-03-05,South,SCH_5,8,2019,Science
S100057,Male,2003-06-29,West,SCH_2,6,2021,Commerce
S100058,Male,2007-02-20,South,SCH_20,11,2020,Science
S100059,Male,2007-07-06,South,SCH_9,6,2023,Commerce
S100060,Male,2005-01-29,West,SCH_9,11,2022,Science
S100061,Male,2008-08-27,North,SCH_4,10,2023,Science
S100062,Male,2006-10-29,West,SCH_15,8,2023,Commerce
S100063,Male,2008-05-22,Central,SCH_11,11,2023,Commerce
S100064,Male,2003-09-17,East,SCH_1,8,2023,Arts
S100065,Female,2003-03-08,West,SCH_18,7,2020,Commerce
S100066,Female,2000-12-22,South,SCH_1,9,2022,Commerce
S100067,Male,2004-06-12,South,SCH_8,7,2019,Arts
S100068,Female,2006-05-10,West,SCH_16,11,2022,Commerce
S100069,Female,2008-06-17,East,SCH_18,7,2023,Commerce
S100070,Female,2005-06-29,West,SCH_9,12,2022,Science
S100071,Female,2006-06-16,East,SCH_12,9,2023,Arts
S100072,Male,2002-05-19,East,SCH_19,11,2022,Arts
S100073,Female,2002-06-04,Central,SCH_18,10,2021,Science
S100074,Male,2005-06-24,South,SCH_5,10,2022,Arts
S100075,Female,2006-01-10,South,SCH_2,9,2019,Science
S100076,Female,2003-11-14,East,SCH_7,9,2019,Commerce
S100077,Female,2003-07-07,South,SCH_10,11,2022,Arts
S100078,Male,2001-09-11,North,SCH_15,8,2022,Commerce
S100079,Female,2002-06-01,East,SCH_7,12,2020,Arts
S100080,Male,2002-03-07,South,SCH_5,11,2022,Commerce
S100081,Female,2005-12-12,North,SCH_15,8,2019,Arts
S100082,Male,2003-07-20,Central,SCH_20,8,2021,Arts
S100083,Female,2001-09-10,South,SCH_20,8,2019,Commerce
S100084,Male,2005-01-08,North,SCH_15,11,2020,Science
S100085,Male,2000-09-01,West,SCH_10,6,2022,Arts
S100086,Female,2007-12-05,West,SCH_14,6,2021,Science
S100087,Male,2006-11-02,North,SCH_10,10,2019,Science
S100088,Female,2002-07-18,East,SCH_17,6,2021,Science
S100089,Female,2003-06-24,East,SCH_14,6,2023,Science
S100090,Female,2001-06-03,South,SCH_2,8,2019,Science
S100091,Female,2008-10-17,West,SCH_16,8,2023,Science
S100092,Female,2006-08-06,East,SCH_13,9,2021,Arts
S100093,Female,2000-01-08,East,SCH_9,8,2022,Science
S100094,Female,2006-11-30,West,SCH_7,11,2022,Arts
S100095,Female,2005-07-12,Central,SCH_16,9,2022,Arts
S100096,Female,2001-05-09,East,SCH_10,12,2023,Arts
S100097,Female,2004-06-17,North,SCH_9,9,2022,Commerce
S100098,Female,2007-11-20,South,SCH_7,6,2020,Science
S100099,Male,2002-11-28,East,SCH_16,8,2019,Commerce
S100100,Male,2007-03-25,East,SCH_9,6,2019,Science
S100101,Female,2000-07-05,Central,SCH_17,8,2021,Commerce
S100102,Female,2007-09-02,North,SCH_20,6,2023,Arts
S100103,Female,2005-02-20,South,SCH_7,12,2019,Commerce
S100104,Female,2005-11-10,East,SCH_11,6,2023,Arts
S100105,Female,2000-03-26,South,SCH_8,6,2021,Commerce
S100106,Female,2008-07-12,West,SCH_7,11,2022,Science
S100107,Female,2000-05-16,East,SCH_19,12,2021,Science
S100108,Female,2006-10-04,East,SCH_20,10,2020,Commerce
S100109,Male,2005-10-22,West,SCH_12,12,2022,Commerce
S100110,Female,2004-06-24,Central,SCH_7,6,2022,Science
S100111,Male,2008-11-01,East,SCH_8,7,2022,Commerce
S100112,Female,2006-01-27,South,SCH_7,7,2021,Commerce
S100113,Female,2004-10-17,North,SCH_6,7,2020,Science
S100114,Male,2006-01-26,South,SCH_9,11,2023,Arts
S100115,Female,2004-11-22,Central,SCH_13,9,2021,Science
S100116,Male,2002-05-21,North,SCH_7,6,2019,Science
S100117,Female,2006-06-27,South,SCH_8,12,2019,Commerce
S100118,Female,2006-11-08,South,SCH_17,7,2021,Science
S100119,Male,2002-08-01,West,SCH_17,11,2023,Science
S100120,Female,2004-06-14,Central,SCH_16,9,2019,Commerce
S100121,Male,2007-10-08,West,SCH_2,7,2023,Commerce
S100122,Female,2007-04-14,North,SCH_8,8,2022,Arts
S100123,Male,2008-10-31,West,SCH_17,10,2021,Science
S100124,Male,2008-01-15,Central,SCH_13,6,2022,Arts
S100125,Female,2000-12-14,East,SCH_18,10,2019,Arts
S100126,Female,2004-08-03,East,SCH_10,10,2023,Arts
S100127,Male,2003-04-11,North,SCH_2,8,2022,Arts
S100128,Female,2000-01-10,East,SCH_2,8,2019,Science
S100129,Female,2007-08-19,West,SCH_14,8,2020,Science
S100130,Female,2004-01-01,North,SCH_16,9,2022,Science
S100131,Male,2001-10-28,Central,SCH_7,7,2020,Arts
S100132,Male,2007-02-06,North,SCH_12,12,2020,Commerce
S100133,Male,2004-03-02,North,SCH_14,6,2019,Science
S100134,Male,2005-12-16,South,SCH_4,8,2021,Arts
S100135,Male,2001-08-23,South,SCH_4,11,2023,Arts
S100136,Male,2007-04-06,North,SCH_18,6,2019,Arts
S100137,Male,2000-11-22,East,SCH_3,12,2022,Arts
S100138,Male,2002-09-06,South,SCH_1,6,2023,Arts
S100139,Male,2006-09-17,Central,SCH_17,6,2021,Arts
S100140,Female,2001-09-20,West,SCH_7,8,2019,Science
S100141,Male,2004-06-17,South,SCH_16,8,2021,Commerce
S100142,Female,2007-07-28,North,SCH_5,7,2022,Science
S100143,Female,2008-06-15,East,SCH_19,12,2019,Science
S100144,Female,2000-09-30,West,SCH_7,8,2022,Arts
S100145,Male,2001-11-15,South,SCH_14,8,2023,Science
S100146,Male,2000-04-25,East,SCH_2,6,2023,Commerce
S100147,Male,2002-05-10,East,SCH_3,7,2021,Commerce
S100148,Male,2005-06-26,East,SCH_17,10,2021,Arts
S100149,Female,2001-11-23,North,SCH_16,8,2023,Commerce
S100150,Male,2008-08-28,Central,SCH_8,11,2020,Arts
S100151,Male,2003-01-10,East,SCH_18,8,2023,Commerce
S100152,Male,2006-06-29,West,SCH_15,10,2019,Commerce
S100153,Male,2008-03-27,South,SCH_7,6,2022,Science
S100154,Male,2005-12-01,West,SCH_9,12,2023,Commerce
S100155,Female,2004-11-27,North,SCH_6,7,2023,Arts
S100156,Male,2008-07-26,North,SCH_18,6,2022,Commerce
S100157,Female,2000-06-02,West,SCH_18,12,2022,Commerce
S100158,Male,2005-03-15,Central,SCH_14,9,2019,Science
S100159,Female,2003-11-28,North,SCH_14,8,2022,Arts
S100160,Male,2003-07-13,North,SCH_14,12,2021,Arts
S100161,Male,2000-11-10,West,SCH_4,11,2023,Arts
S100162,Female,2002-11-30,North,SCH_4,12,2022,Science
S100163,Female,2000-04-14,Central,SCH_15,9,2019,Commerce
S100164,Female,2005-04-08,Central,SCH_15,8,2022,Arts
S100165,Male,2005-03-28,Central,SCH_18,9,2023,Commerce
S100166,Female,2003-05-01,South,SCH_14,10,2020,Commerce
S100167,Male,2003-11-25,Central,SCH_1,8,2022,Commerce
S100168,Male,2006-07-29,Central,SCH_10,11,2021,Science
S100169,Female,2008-05-21,South,SCH_20,8,2023,Commerce
S100170,Female,2004-11-07,East,SCH_10,9,2019,Science
S100171,Male,2005-05-14,North,SCH_10,7,2023,Science
S100172,Male,2007-08-12,Central,SCH_2,9,2020,Science
S100173,Female,2004-05-22,North,SCH_8,8,2019,Arts
S100174,Female,2001-12-09,West,SCH_1,8,2020,Science
S100175,Female,2001-10-12,North,SCH_1,12,2020,Arts
S100176,Male,2007-11-11,South,SCH_4,7,2021,Science
S100177,Male,2002-08-04,North,SCH_7,6,2022,Science
S100178,Male,2001-10-22,North,SCH_9,7,2021,Science
S100179,Male,2005-11-16,North,SCH_16,6,2021,Science
S100180,Male,2007-03-20,East,SCH_5,11,2021,Commerce
S100181,Male,2006-05-18,East,SCH_2,8,2019,Commerce
S100182,Female,2006-09-16,West,SCH_11,12,2022,Science
S100183,Male,2003-02-06,South,SCH_18,10,2022,Commerce
S100184,Male,2001-11-30,North,SCH_19,10,2019,Arts
S100185,Male,2006-02-24,North,SCH_13,9,2021,Commerce
S100186,Female,2005-07-31,North,SCH_11,7,2021,Commerce
S100187,Male,2006-07-02,North,SCH_20,7,2020,Commerce
S100188,Male,2006-01-10,East,SCH_19,10,2020,Science
S100189,Female,2001-07-05,West,SCH_17,6,2023,Arts
S100190,Male,2001-02-08,Central,SCH_5,7,2020,Science
S100191,Male,2001-04-06,South,SCH_13,6,2022,Arts
S100192,Male,2005-12-19,North,SCH_20,6,2019,Science
S100193,Male,2007-10-09,West,SCH_1,6,2021,Commerce
S100194,Male,2002-05-23,Central,SCH_10,6,2023,Arts
S100195,Female,2000-03-24,West,SCH_8,12,2020,Commerce
S100196,Female,2003-11-23,East,SCH_8,9,2023,Arts
S100197,Female,2007-09-02,Central,SCH_19,9,2019,Arts
S100198,Male,2007-04-29,West,SCH_6,12,2019,Science
S100199,Male,2008-09-15,East,SCH_12,10,2023,Science
S100200,Male,2000-08-08,West,SCH_7,9,2023,Commerce
S100201,Female,2007-02-13,West,SCH_16,11,2023,Commerce
S100202,Male,2003-10-23,Central,SCH_9,12,2021,Arts
S100203,Male,2008-10-23,East,SCH_10,7,2022,Arts
S100204,Female,2000-04-21,North,SCH_10,11,2020,Science
S100205,Male,2001-09-06,South,SCH_10,12,2020,Science
S100206,Female,2004-04-30,Central,SCH_20,9,2020,Science
S100207,Female,2008-02-19,East,SCH_16,7,2023,Science
S100208,Female,2001-04-19,West,SCH_1,7,2023,Science
S100209,Male,2007-11-23,East,SCH_17,6,2023,Arts
S100210,Male,2005-03-28,South,SCH_14,10,2021,Arts
S100211,Male,2000-09-27,South,SCH_19,6,2021,Commerce
S100212,Male,2006-10-04,North,SCH_17,12,2021,Arts
S100213,Male,2005-04-04,North,SCH_14,6,2021,Science
S100214,Male,2007-07-17,South,SCH_8,11,2019,Arts
S100215,Male,2003-10-22,Central,SCH_9,9,2021,Arts
S100216,Female,2000-02-09,Central,SCH_8,11,2021,Arts
S100217,Male,2005-06-05,West,SCH_13,9,2021,Commerce
S100218,Female,2006-02-14,North,SCH_17,11,2020,Commerce
S100219,Male,2008-11-09,West,SCH_19,7,2020,Arts
S100220,Male,2002-09-20,North,SCH_7,9,2020,Arts
S100221,Male,2005-07-05,South,SCH_17,9,2022,Science
S100222,Female,2007-01-27,Central,SCH_1,11,2019,Commerce
S100223,Female,2008-06-02,Central,SCH_5,8,2023,Science
S100224,Female,2000-10-16,South,SCH_6,7,2021,Science
S100225,Female,2006-10-16,West,SCH_2,12,2020,Arts
S100226,Male,2006-11-23,West,SCH_16,7,2019,Arts
S100227,Female,2008-11-26,East,SCH_5,12,2021,Arts
S100228,Male,2007-04-29,North,SCH_5,8,2022,Science
S100229,Male,2000-10-05,West,SCH_12,11,2023,Science
S100230,Female,2008-01-03,South,SCH_3,11,2021,Science
S100231,Female,2001-08-03,West,SCH_16,7,2023,Arts
S100232,Female,2002-05-12,Central,SCH_6,11,2021,Arts
S100233,Female,2000-09-10,North,SCH_15,10,2022,Arts
S100234,Female,2000-06-29,East,SCH_15,10,2019,Science
S100235,Female,2001-11-11,North,SCH_16,12,2023,Science
S100236,Female,2002-04-04,Central,SCH_20,8,2023,Commerce
S100237,Female,2001-11-30,Central,SCH_13,9,2019,Arts
S100238,Male,2007-02-26,Central,SCH_12,10,2023,Science
S100239,Female,2003-09-11,Central,SCH_10,12,2020,Commerce
S100240,Female,2003-10-12,South,SCH_14,11,2019,Science
S100241,Male,2004-07-31,East,SCH_2,8,2022,Science
S100242,Female,2007-06-20,Central,SCH_3,12,2021,Arts
S100243,Male,2006-09-04,Central,SCH_9,12,2021,Commerce
S100244,Male,2004-06-26,West,SCH_11,10,2019,Science
S100245,Female,2005-05-11,East,SCH_11,6,2020,Commerce
S100246,Male,2008-08-22,North,SCH_10,8,2022,Commerce
S100247,Male,2000-07-30,East,SCH_14,7,2021,Arts
S100248,Male,2004-03-18,East,SCH_9,12,2021,Commerce
S100249,Male,2001-01-18,East,SCH_20,10,2020,Arts
S100250,Female,2004-09-10,Central,SCH_10,7,2023,Arts
S100251,Male,2000-12-07,Central,SCH_9,8,2019,Arts
S100252,Female,2005-01-12,South,SCH_5,10,2020,Commerce
S100253,Male,2005-06-10,North,SCH_8,7,2020,Science
S100254,Male,2002-04-23,West,SCH_11,9,2020,Arts
S100255,Male,2008-07-06,East,SCH_1,12,2020,Science
S100256,Male,2004-03-14,North,SCH_10,9,2023,Commerce
S100257,Female,2001-02-23,North,SCH_1,6,2022,Science
S100258,Female,2007-08-30,South,SCH_7,11,2020,Science
S100259,Male,2008-11-14,West,SCH_14,8,2020,Arts
S100260,Male,2005-06-11,East,SCH_5,11,2019,Arts
S100261,Female,2005-04-16,West,SCH_17,11,2021,Arts
S100262,Male,2005-01-23,South,SCH_6,7,2023,Commerce
S100263,Male,2000-11-01,Central,SCH_16,6,2020,Science
S100264,Male,2007-07-12,North,SCH_11,8,2022,Commerce
S100265,Female,2002-05-18,East,SCH_10,9,2022,Commerce
S100266,Female,2007-01-28,Central,SCH_15,11,2022,Commerce
S100267,Female,2003-02-09,South,SCH_7,7,2019,Commerce
S100268,Male,2003-12-05,West,SCH_2,11,2022,Arts
S100269,Male,2000-07-24,North,SCH_12,10,2019,Science
S100270,Female,2008-11-30,East,SCH_19,9,2023,Arts
S100271,Female,2001-05-10,Central,SCH_12,11,2022,Arts
S100272,Female,2008-07-15,Central,SCH_16,10,2021,Commerce
S100273,Female,2005-03-24,North,SCH_6,10,2020,Arts
S100274,Male,2006-12-26,West,SCH_3,7,2023,Science
S100275,Female,2002-11-11,South,SCH_2,7,2021,Commerce
S100276,Male,2000-07-31,West,SCH_20,10,2023,Arts
S100277,Female,2000-11-05,West,SCH_5,6,2022,Commerce
S100278,Male,2007-06-01,West,SCH_11,11,2023,Science
S100279,Female,2005-06-14,North,SCH_3,10,2023,Commerce
S100280,Female,2007-09-01,North,SCH_3,10,2023,Arts
S100281,Female,2000-09-28,South,SCH_5,7,2019,Arts
S100282,Female,2004-12-27,West,SCH_11,11,2021,Science
S100283,Male,2008-03-04,North,SCH_3,8,2022,Science
S100284,Female,2008-12-17,South,SCH_13,9,2020,Commerce
S100285,Male,2005-09-10,South,SCH_8,7,2022,Arts
S100286,Male,2001-03-18,West,SCH_20,11,2022,Science
S100287,Male,2006-01-18,East,SCH_10,11,2019,Science
S100288,Male,2007-09-15,West,SCH_2,12,2019,Arts
S100289,Female,2000-09-10,East,SCH_4,6,2023,Science
S100290,Male,2001-06-04,South,SCH_18,9,2022,Science
S100291,Male,2002-09-03,North,SCH_19,7,2021,Arts
S100292,Male,2000-01-10,Central,SCH_4,7,2019,Science
S100293,Female,2007-08-05,South,SCH_20,8,2019,Arts
S100294,Female,2006-12-27,North,SCH_9,12,2021,Arts
S100295,Female,2007-10-03,South,SCH_16,12,2019,Commerce
S100296,Female,2004-05-02,West,SCH_6,6,2021,Arts
S100297,Male,2006-10-19,East,SCH_4,12,2020,Science
S100298,Male,2003-02-08,South,SCH_9,6,2021,Commerce
S100299,Female,2000-06-01,North,SCH_13,11,2020,Commerce
S100300,Male,2004-07-16,West,SCH_9,11,2023,Science
S100301,Male,2008-02-12,Central,SCH_6,7,2023,Commerce
S100302,Male,2007-12-26,West,SCH_19,8,2019,Science
S100303,Female,2008-09-08,East,SCH_14,7,2021,Commerce
S100304,Female,2007-09-01,West,SCH_15,12,2019,Science
S100305,Male,2005-01-30,Central,SCH_3,10,2021,Arts
S100306,Female,2003-04-29,North,SCH_5,11,2019,Arts
S100307,Female,2004-10-18,South,SCH_18,10,2023,Commerce
S100308,Female,2007-02-23,East,SCH_14,12,2023,Commerce
S100309,Female,2003-01-09,Central,SCH_16,8,2019,Arts
S100310,Female,2006-12-11,East,SCH_14,7,2021,Science
S100311,Male,2002-06-13,West,SCH_9,11,2022,Commerce
S100312,Female,2003-01-16,East,SCH_15,8,2021,Arts
S100313,Male,2008-12-09,Central,SCH_7,7,2019,Commerce
S100314,Male,2000-04-13,South,SCH_14,7,2021,Arts
S100315,Female,2008-09-02,South,SCH_6,10,2020,Arts
S100316,Male,2005-03-29,East,SCH_15,9,2021,Arts
S100317,Male,2008-12-13,North,SCH_20,12,2023,Science
S100318,Male,2008-05-30,East,SCH_8,6,2023,Commerce
S100319,Female,2002-10-03,West,SCH_2,11,2020,Science
S100320,Female,2001-02-10,South,SCH_8,6,2021,Science
S100321,Male,2003-11-02,South,SCH_1,8,2022,Arts
S100322,Female,2000-06-15,South,SCH_17,6,2021,Science
S100323,Female,2001-05-23,North,SCH_19,10,2023,Commerce
S100324,Female,2004-07-19,North,SCH_5,9,2023,Commerce
S100325,Female,2006-06-18,Central,SCH_20,11,2019,Arts
S100326,Male,2002-02-01,East,SCH_16,12,2023,Arts
S100327,Male,2001-11-11,East,SCH_7,7,2019,Commerce
S100328,Female,2006-11-29,West,SCH_7,7,2023,Commerce
S100329,Female,2005-10-21,South,SCH_18,12,2023,Arts
S100330,Male,2003-03-10,North,SCH_18,10,2022,Science
S100331,Male,2001-08-04,West,SCH_2,11,2019,Commerce
S100332,Female,2000-09-18,West,SCH_15,6,2019,Arts
S100333,Male,2003-09-25,North,SCH_14,12,2023,Arts
S100334,Female,2003-08-24,East,SCH_18,7,2019,Commerce
S100335,Female,2006-04-11,South,SCH_9,6,2023,Arts
S100336,Male,2004-03-18,East,SCH_14,10,2023,Commerce
S100337,Male,2001-07-14,West,SCH_5,7,2021,Arts
S100338,Female,2003-01-04,South,SCH_11,8,2019,Arts
S100339,Female,2005-03-18,Central,SCH_8,9,2020,Science
S100340,Male,2000-06-23,West,SCH_5,6,2019,Arts
S100341,Female,2005-11-26,East,SCH_11,12,2019,Commerce
S100342,Male,2006-02-08,East,SCH_5,11,2022,Commerce
S100343,Female,2000-07-10,East,SCH_17,6,2020,Science
S100344,Male,2000-03-05,North,SCH_4,6,2020,Commerce
S100345,Male,2008-03-29,West,SCH_15,6,2022,Arts
S100346,Male,2004-02-06,South,SCH_19,12,2022,Science
S100347,Female,2008-09-06,East,SCH_2,10,2019,Commerce
S100348,Female,2004-04-16,East,SCH_17,10,2021,Arts
S100349,Male,2007-12-21,North,SCH_12,11,2022,Science
S100350,Female,2003-02-25,South,SCH_17,10,2020,Arts
S100351,Male,2005-04-21,West,SCH_10,12,2020,Commerce
S100352,Male,2001-01-03,Central,SCH_18,11,2019,Commerce
S100353,Female,2002-04-30,North,SCH_19,11,2021,Commerce
S100354,Female,2000-02-12,West,SCH_18,10,2023,Commerce
S100355,Male,2005-03-22,Central,SCH_13,7,2022,Science
S100356,Female,2006-12-10,East,SCH_14,10,2022,Commerce
S100357,Female,2000-03-18,East,SCH_16,7,2019,Science
S100358,Male,2007-11-13,South,SCH_18,8,2021,Science
S100359,Male,2004-12-29,Central,SCH_18,10,2020,Arts
S100360,Female,2003-07-17,East,SCH_16,8,2020,Commerce
S100361,Male,2001-11-04,East,SCH_17,10,2023,Arts
S100362,Male,2001-12-01,South,SCH_7,8,2020,Arts
S100363,Female,2002-01-28,West,SCH_12,9,2022,Arts
S100364,Male,2005-04-07,East,SCH_2,8,2023,Arts
S100365,Male,2007-08-07,North,SCH_10,7,2021,Arts
S100366,Female,2008-02-20,North,SCH_5,6,2023,Commerce
S100367,Female,2002-06-20,West,SCH_3,11,2021,Arts
S100368,Male,2008-01-15,Central,SCH_19,8,2020,Science
S100369,Male,2002-09-19,South,SCH_13,6,2019,Science
S100370,Female,2003-04-06,North,SCH_12,12,2023,Commerce
S100371,Female,2006-07-14,North,SCH_3,9,2023,Science
S100372,Female,2006-02-18,West,SCH_6,9,2022,Arts
S100373,Female,2004-01-16,Central,SCH_14,12,2022,Science
S100374,Male,2006-05-19,Central,SCH_4,12,2021,Arts
S100375,Female,2001-01-24,West,SCH_13,12,2019,Commerce
S100376,Female,2002-09-26,North,SCH_19,7,2022,Science
S100377,Male,2001-06-08,South,SCH_18,12,2022,Science
S100378,Female,2005-01-29,North,SCH_3,7,2020,Science
S100379,Male,2004-02-15,Central,SCH_20,8,2020,Commerce
S100380,Female,2001-10-20,North,SCH_6,10,2022,Commerce
S100381,Female,2007-07-26,South,SCH_16,12,2021,Science
S100382,Female,2002-06-09,East,SCH_20,12,2019,Commerce
S100383,Male,2004-01-21,North,SCH_3,9,2022,Arts
S100384,Male,2008-08-26,West,SCH_12,6,2021,Commerce
S100385,Female,2008-09-01,East,SCH_19,10,2021,Science
S100386,Male,2001-03-27,West,SCH_19,9,2022,Arts
S100387,Male,2006-10-11,West,SCH_4,8,2021,Science
S100388,Male,2008-10-27,West,SCH_1,12,2023,Science
S100389,Male,2004-03-17,North,SCH_2,9,2021,Science
S100390,Male,2008-06-20,Central,SCH_13,7,2022,Commerce
S100391,Male,2002-06-01,East,SCH_13,6,2021,Science
S100392,Female,2000-11-08,South,SCH_2,6,2022,Arts
S100393,Female,2002-04-19,Central,SCH_19,7,2020,Arts
S100394,Male,2007-01-10,North,SCH_16,12,2022,Arts
S100395,Female,2008-12-21,West,SCH_12,12,2021,Science
S100396,Female,2001-01-09,South,SCH_1,10,2022,Arts
S100397,Female,2001-03-26,East,SCH_9,7,2019,Arts
S100398,Female,2008-05-20,Central,SCH_17,12,2022,Arts
S100399,Male,2001-08-17,Central,SCH_10,6,2022,Arts
S100400,Female,2008-11-24,South,SCH_18,12,2019,Commerce
S100401,Female,2003-05-18,North,SCH_19,8,2019,Science
S100402,Male,2001-05-14,East,SCH_7,12,2019,Science
S100403,Male,2001-04-08,South,SCH_19,10,2023,Arts
S100404,Female,2008-09-30,West,SCH_15,11,2022,Science
S100405,Female,2000-04-22,East,SCH_9,9,2019,Arts
S100406,Female,2002-11-01,Central,SCH_10,11,2019,Arts
S100407,Female,2008-10-02,South,SCH_20,8,2020,Arts
S100408,Female,2006-07-06,Central,SCH_20,11,2023,Science
S100409,Female,2005-04-08,Central,SCH_4,12,2022,Commerce
S100410,Male,2000-05-19,Central,SCH_6,10,2021,Science
S100411,Female,2003-11-25,North,SCH_4,6,2023,Science
S100412,Female,2008-01-28,Central,SCH_5,6,2023,Commerce
S100413,Male,2008-09-03,West,SCH_9,8,2020,Science
S100414,Male,2001-05-31,West,SCH_12,11,2022,Commerce
S100415,Male,2007-03-01,East,SCH_8,10,2022,Arts
S100416,Male,2005-05-01,Central,SCH_5,9,2019,Commerce
S100417,Female,2007-12-03,Central,SCH_11,12,2019,Arts
S100418,Female,2008-08-06,South,SCH_11,11,2023,Commerce
S100419,Female,2005-12-05,North,SCH_13,11,2020,Arts
S100420,Female,2002-06-06,East,SCH_14,9,2022,Science
S100421,Female,2008-07-27,Central,SCH_8,7,2020,Commerce
S100422,Female,2008-07-01,South,SCH_18,12,2021,Science
S100423,Male,2003-09-03,North,SCH_19,8,2022,Arts
S100424,Female,2000-02-19,East,SCH_12,12,2019,Commerce
S100425,Male,2000-01-19,East,SCH_12,10,2023,Commerce
S100426,Male,2001-12-26,Central,SCH_18,8,2020,Commerce
S100427,Female,2006-02-22,East,SCH_10,9,2019,Science
S100428,Male,2004-01-13,South,SCH_7,10,2023,Arts
S100429,Female,2007-02-19,East,SCH_18,6,2019,Science
S100430,Male,2001-03-27,West,SCH_12,6,2022,Commerce
S100431,Female,2006-05-25,South,SCH_14,12,2020,Arts
S100432,Male,2003-03-10,North,SCH_15,10,2021,Arts
S100433,Female,2003-01-12,North,SCH_16,8,2019,Science
S100434,Female,2006-09-04,Central,SCH_2,8,2020,Science
S100435,Female,2000-08-02,Central,SCH_18,6,2022,Commerce
S100436,Female,2004-03-29,West,SCH_12,6,2019,Commerce
S100437,Female,2006-03-12,North,SCH_16,9,2022,Commerce
S100438,Male,2000-05-07,North,SCH_13,10,2021,Commerce
S100439,Male,2005-01-19,North,SCH_20,8,2021,Arts
S100440,Male,2002-01-29,North,SCH_17,9,2023,Commerce
S100441,Female,2006-09-17,East,SCH_18,8,2023,Commerce
S100442,Male,2008-06-27,South,SCH_3,6,2023,Commerce
S100443,Female,2004-12-20,South,SCH_10,10,2022,Science
S100444,Female,2006-07-13,West,SCH_1,7,2023,Science
S100445,Male,2007-11-18,East,SCH_6,10,2020,Science
