student_id,academic_year,total_days,days_present,attendance_pct,chronic_absentee,attendance_trend
S100064,2021-22,180,111,61.67,True,Declining
S100065,2020-21,180,88,48.89,True,Improving
S100066,2019-20,180,96,53.33,True,Declining
S100067,2021-22,180,67,37.22,True,Improving
S100068,2021-22,180,79,43.89,True,Declining
S100069,2022-23,180,178,98.89,False,Stable
S100070,2020-21,180,100,55.56,True,Stable
S100071,2019-20,180,129,71.67,True,Declining
S100072,2021-22,180,95,52.78,True,Improving
S100073,2021-22,180,91,50.56,True,Improving
S100074,2021-22,180,64,35.56,True,Declining
S100075,2019-20,180,163,90.56,False,Stable
S100076,2021-22,180,79,43.89,True,Declining
S100077,2021-22,180,168,93.33,False,Improving
S100078,2019-20,180,127,70.56,True,Stable
S100079,2021-22,180,162,90.0,False,Improving
S100080,2019-20,180,81,45.0,True,Declining
S100081,2022-23,180,156,86.67,False,Stable
S100082,2019-20,180,90,50.0,True,Stable
S100083,2022-23,180,100,55.56,True,Improving
S100084,2019-20,180,152,84.44,False,Stable
S100085,2020-21,180,64,35.56,True,Stable
S100086,2021-22,180,69,38.33,True,Stable
S100087,2022-23,180,134,74.44,True,Stable
S100088,2021-22,180,173,96.11,False,Improving
S100089,2021-22,180,96,53.33,True,Declining
S100090,2019-20,180,115,63.89,True,Declining
S100091,2020-21,180,145,80.56,False,Stable
S100092,2019-20,180,83,46.11,True,Improving
S100093,2021-22,180,144,80.0,False,Stable
S100094,2019-20,180,159,88.33,False,Improving
S100095,2022-23,180,174,96.67,False,Declining
S100096,2020-21,180,75,41.67,True,Stable
S100097,2021-22,180,61,33.89,True,Improving
S100098,2019-20,180,74,41.11,True,Improving
S100099,2022-23,180,100,55.56,True,Declining
S100100,2020-21,180,122,67.78,True,Declining
S100101,2019-20,180,108,60.0,True,Improving
S100102,2019-20,180,85,47.22,True,Declining
S100103,2021-22,180,153,85.0,False,Improving
S100104,2022-23,180,125,69.44,True,Declining
S100105,2020-21,180,177,98.33,False,Stable
S100106,2019-20,180,88,48.89,True,Declining
S100107,2020-21,180,129,71.67,True,Stable
S100108,2022-23,180,119,66.11,True,Stable
S100109,2021-22,180,124,68.89,True,Stable
S100110,2021-22,180,99,55.0,True,Stable
S100111,2021-22,180,70,38.89,True,Improving
S100112,2020-21,180,111,61.67,True,Declining
S100113,2020-21,180,146,81.11,False,Stable
S100114,2019-20,180,149,82.78,False,Stable
S100115,2022-23,180,154,85.56,False,Stable
S100116,2022-23,180,138,76.67,False,Stable
S100117,2022-23,180,132,73.33,True,Declining
S100118,2020-21,180,123,68.33,True,Declining
S100119,2021-22,180,157,87.22,False,Declining
S100120,2022-23,180,162,90.0,False,Declining
S100121,2019-20,180,140,77.78,False,Declining
S100122,2020-21,180,158,87.78,False,Improving
S100123,2021-22,180,159,88.33,False,Improving
S100124,2022-23,180,62,34.44,True,Declining
S100125,2021-22,180,163,90.56,False,Improving
S100126,2019-20,180,70,38.89,True,Declining
S100127,2022-23,180,87,48.33,True,Declining
S100128,2022-23,180,121,67.22,True,Stable
S100129,2021-22,180,107,59.44,True,Stable
S100130,2020-21,180,87,48.33,True,Stable
S100131,2021-22,180,105,58.33,True,Declining
S100132,2019-20,180,123,68.33,True,Declining
S100133,2021-22,180,114,63.33,True,Improving
S100134,2021-22,180,142,78.89,False,Declining
S100135,2022-23,180,178,98.89,False,Stable
S100136,2020-21,180,61,33.89,True,Improving
S100137,2020-21,180,155,86.11,False,Stable
S100138,2020-21,180,167,92.78,False,Stable
S100139,2020-21,180,134,74.44,True,Improving
S100140,2021-22,180,75,41.67,True,Improving
S100141,2022-23,180,70,38.89,True,Improving
S100142,2022-23,180,62,34.44,True,Declining
S100143,2020-21,180,114,63.33,True,Improving
S100144,2021-22,180,101,56.11,True,Stable
S100145,2020-21,180,88,48.89,True,Improving
S100146,2020-21,180,128,71.11,True,Declining
S100147,2022-23,180,151,83.89,False,Declining
S100148,2022-23,180,90,50.0,True,Declining
S100149,2020-21,180,136,75.56,False,Stable
S100150,2021-22,180,84,46.67,True,Stable
S100151,2020-21,180,179,99.44,False,Stable
S100152,2022-23,180,65,36.11,True,Stable
S100153,2022-23,180,119,66.11,True,Improving
S100154,2021-22,180,175,97.22,False,Stable
S100155,2020-21,180,126,70.0,True,Improving
S100156,2020-21,180,81,45.0,True,Declining
S100157,2019-20,180,100,55.56,True,Stable
S100158,2020-21,180,112,62.22,True,Stable
S100159,2021-22,180,119,66.11,True,Stable
S100160,2022-23,180,98,54.44,True,Declining
S100161,2019-20,180,114,63.33,True,Stable
S100162,2021-22,180,155,86.11,False,Stable
S100163,2021-22,180,89,49.44,True,Improving
S100164,2019-20,180,130,72.22,True,Improving
S100165,2020-21,180,148,82.22,False,Improving
S100166,2019-20,180,61,33.89,True,Improving
S100167,2021-22,180,67,37.22,True,Declining
S100168,2020-21,180,173,96.11,False,Declining
S100169,2022-23,180,122,67.78,True,Improving
S100170,2019-20,180,118,65.56,True,Improving
S100171,2021-22,180,156,86.67,False,Stable
S100172,2020-21,180,87,48.33,True,Stable
S100173,2021-22,180,133,73.89,True,Declining
S100174,2020-21,180,97,53.89,True,Stable
S100175,2020-21,180,77,42.78,True,Declining
S100176,2019-20,180,121,67.22,True,Improving
S100177,2022-23,180,136,75.56,False,Stable
S100178,2020-21,180,144,80.0,False,Declining
S100179,2021-22,180,156,86.67,False,Improving
S100180,2020-21,180,82,45.56,True,Stable
S100181,2022-23,180,124,68.89,True,Improving
S100182,2021-22,180,167,92.78,False,Stable
S100183,2020-21,180,99,55.0,True,Improving
S100184,2020-21,180,119,66.11,True,Declining
S100185,2019-20,180,144,80.0,False,Declining
S100186,2022-23,180,64,35.56,True,Declining
S100187,2020-21,180,158,87.78,False,Stable
S100188,2022-23,180,77,42.78,True,Declining
S100189,2020-21,180,97,53.89,True,Declining
S100190,2021-22,180,159,88.33,False,Stable
S100191,2022-23,180,170,94.44,False,Improving
S100192,2021-22,180,88,48.89,True,Stable
S100193,2022-23,180,85,47.22,True,Declining
S100194,2021-22,180,119,66.11,True,Improving
S100195,2020-21,180,95,52.78,True,Stable
S100196,2021-22,180,161,89.44,False,Declining
S100197,2021-22,180,173,96.11,False,Stable
S100198,2020-21,180,141,78.33,False,Stable
S100199,2022-23,180,88,48.89,True,Declining
S100200,2021-22,180,90,50.0,True,Improving
S100201,2019-20,180,122,67.78,True,Declining
S100202,2019-20,180,165,91.67,False,Declining
S100203,2021-22,180,72,40.0,True,Stable
S100204,2021-22,180,175,97.22,False,Improving
S100205,2021-22,180,177,98.33,False,Improving
S100206,2022-23,180,173,96.11,False,Stable
S100207,2020-21,180,153,85.0,False,Declining
S100208,2019-20,180,130,72.22,True,Stable
S100209,2019-20,180,99,55.0,True,Declining
S100210,2022-23,180,129,71.67,True,Stable
S100211,2021-22,180,61,33.89,True,Stable
S100212,2021-22,180,177,98.33,False,Declining
S100213,2020-21,180,67,37.22,True,Declining
S100214,2020-21,180,133,73.89,True,Declining
S100215,2019-20,180,172,95.56,False,Improving
S100216,2020-21,180,177,98.33,False,Declining
S100217,2019-20,180,167,92.78,False,Stable
S100218,2022-23,180,102,56.67,True,Declining
S100219,2021-22,180,108,60.0,True,Stable
S100220,2021-22,180,171,95.0,False,Improving
S100221,2019-20,180,81,45.0,True,Stable
S100222,2021-22,180,133,73.89,True,Improving
S100223,2022-23,180,175,97.22,False,Improving
S100224,2020-21,180,94,52.22,True,Stable
S100225,2022-23,180,78,43.33,True,Declining
S100226,2021-22,180,63,35.0,True,Improving
S100227,2022-23,180,78,43.33,True,Improving
S100228,2021-22,180,164,91.11,False,Declining
S100229,2019-20,180,79,43.89,True,Stable
S100230,2020-21,180,172,95.56,False,Declining
S100231,2020-21,180,63,35.0,True,Improving
S100232,2021-22,180,108,60.0,True,Stable
S100233,2021-22,180,85,47.22,True,Improving
S100234,2020-21,180,62,34.44,True,Declining
S100235,2022-23,180,111,61.67,True,Declining
S100236,2022-23,180,153,85.0,False,Declining
S100237,2022-23,180,95,52.78,True,Improving
S100238,2020-21,180,100,55.56,True,Declining
S100239,2019-20,180,129,71.67,True,Declining
S100240,2021-22,180,110,61.11,True,Stable
S100241,2021-22,180,162,90.0,False,Stable
S100242,2020-21,180,150,83.33,False,Declining
S100243,2019-20,180,75,41.67,True,Stable
S100244,2020-21,180,106,58.89,True,Improving
S100245,2022-23,180,139,77.22,False,Declining
S100246,2022-23,180,105,58.33,True,Stable
S100247,2021-22,180,159,88.33,False,Declining
S100248,2021-22,180,114,63.33,True,Stable
S100249,2021-22,180,157,87.22,False,Improving
S100250,2021-22,180,162,90.0,False,Stable
S100251,2022-23,180,147,81.67,False,Declining
S100252,2022-23,180,98,54.44,True,Improving
S100253,2019-20,180,65,36.11,True,Stable
S100254,2021-22,180,143,79.44,False,Improving
S100255,2020-21,180,120,66.67,True,Stable
S100256,2019-20,180,68,37.78,True,Declining
S100257,2019-20,180,172,95.56,False,Stable
S100258,2022-23,180,144,80.0,False,Stable
S100259,2021-22,180,70,38.89,True,Stable
S100260,2019-20,180,171,95.0,False,Stable
S100261,2021-22,180,153,85.0,False,Stable
S100262,2022-23,180,124,68.89,True,Declining
S100263,2019-20,180,150,83.33,False,Declining
S100264,2019-20,180,118,65.56,True,Stable
S100265,2020-21,180,171,95.0,False,Declining
S100266,2022-23,180,172,95.56,False,Declining
S100267,2020-21,180,129,71.67,True,Improving
S100268,2022-23,180,177,98.33,False,Stable
S100269,2020-21,180,166,92.22,False,Declining
S100270,2022-23,180,66,36.67,True,Declining
S100271,2022-23,180,171,95.0,False,Stable
S100272,2019-20,180,120,66.67,True,Declining
S100273,2020-21,180,116,64.44,True,Stable
S100274,2020-21,180,145,80.56,False,Improving
S100275,2020-21,180,93,51.67,True,Declining
S100276,2019-20,180,143,79.44,False,Declining
S100277,2021-22,180,104,57.78,True,Stable
S100278,2022-23,180,104,57.78,True,Improving
S100279,2020-21,180,74,41.11,True,Declining
S100280,2022-23,180,170,94.44,False,Stable
S100281,2019-20,180,68,37.78,True,Improving
S100282,2022-23,180,141,78.33,False,Improving
S100283,2019-20,180,105,58.33,True,Improving
S100284,2021-22,180,178,98.89,False,Stable
S100285,2020-21,180,105,58.33,True,Improving
S100286,2019-20,180,95,52.78,True,Improving
S100287,2022-23,180,105,58.33,True,Declining
S100288,2019-20,180,101,56.11,True,Declining
S100289,2019-20,180,89,49.44,True,Improving
S100290,2021-22,180,70,38.89,True,Improving
S100291,2020-21,180,177,98.33,False,Stable
S100292,2019-20,180,92,51.11,True,Improving
S100293,2019-20,180,169,93.89,False,Improving
S100294,2022-23,180,99,55.0,True,Stable
S100295,2019-20,180,129,71.67,True,Declining
S100296,2019-20,180,102,56.67,True,Declining
S100297,2020-21,180,169,93.89,False,Declining
S100298,2020-21,180,98,54.44,True,Stable
S100299,2022-23,180,145,80.56,False,Declining
S100300,2019-20,180,98,54.44,True,Stable
S100301,2019-20,180,112,62.22,True,Stable
S100302,2019-20,180,142,78.89,False,Stable
S100303,2021-22,180,145,80.56,False,Declining
S100304,2021-22,180,90,50.0,True,Improving
S100305,2022-23,180,165,91.67,False,Improving
S100306,2021-22,180,122,67.78,True,Declining
S100307,2022-23,180,84,46.67,True,Stable
S100308,2019-20,180,177,98.33,False,Improving
S100309,2021-22,180,100,55.56,True,Stable
S100310,2020-21,180,109,60.56,True,Improving
S100311,2021-22,180,118,65.56,True,Improving
S100312,2019-20,180,108,60.0,True,Improving
S100313,2020-21,180,89,49.44,True,Stable
S100314,2022-23,180,104,57.78,True,Improving
S100315,2019-20,180,127,70.56,True,Stable
S100316,2020-21,180,112,62.22,True,Improving
S100317,2021-22,180,85,47.22,True,Improving
S100318,2022-23,180,130,72.22,True,Declining
S100319,2021-22,180,99,55.0,True,Declining
S100320,2020-21,180,171,95.0,False,Stable
S100321,2020-21,180,71,39.44,True,Improving
S100322,2019-20,180,60,33.33,True,Improving
S100323,2022-23,180,129,71.67,True,Declining
S100324,2022-23,180,60,33.33,True,Improving
S100325,2020-21,180,67,37.22,True,Declining
S100326,2019-20,180,167,92.78,False,Stable
S100327,2020-21,180,171,95.0,False,Declining
S100328,2020-21,180,92,51.11,True,Stable
S100329,2022-23,180,127,70.56,True,Stable
S100330,2021-22,180,174,96.67,False,Improving
S100331,2021-22,180,109,60.56,True,Stable
S100332,2022-23,180,163,90.56,False,Declining
S100333,2019-20,180,65,36.11,True,Improving
S100334,2022-23,180,168,93.33,False,Stable
S100335,2019-20,180,119,66.11,True,Stable
S100336,2022-23,180,122,67.78,True,Stable
S100337,2019-20,180,111,61.67,True,Improving
S100338,2020-21,180,62,34.44,True,Declining
S100339,2020-21,180,138,76.67,False,Stable
S100340,2019-20,180,129,71.67,True,Declining
S100341,2022-23,180,65,36.11,True,Declining
S100342,2020-21,180,96,53.33,True,Improving
S100343,2022-23,180,110,61.11,True,Improving
S100344,2021-22,180,86,47.78,True,Declining
S100345,2020-21,180,165,91.67,False,Stable
S100346,2022-23,180,164,91.11,False,Improving
S100347,2022-23,180,105,58.33,True,Declining
S100348,2021-22,180,177,98.33,False,Stable
S100349,2022-23,180,128,71.11,True,Stable
S100350,2019-20,180,162,90.0,False,Stable
S100351,2020-21,180,76,42.22,True,Declining
S100352,2019-20,180,146,81.11,False,Improving
S100353,2021-22,180,76,42.22,True,Stable
S100354,2019-20,180,164,91.11,False,Stable
S100355,2022-23,180,177,98.33,False,Declining
S100356,2021-22,180,82,45.56,True,Declining
S100357,2021-22,180,98,54.44,True,Stable
S100358,2019-20,180,92,51.11,True,Stable
S100359,2021-22,180,125,69.44,True,Stable
S100360,2019-20,180,69,38.33,True,Stable
S100361,2019-20,180,142,78.89,False,Declining
S100362,2019-20,180,99,55.0,True,Stable
S100363,2021-22,180,132,73.33,True,Declining
S100364,2021-22,180,74,41.11,True,Declining
S100365,2020-21,180,102,56.67,True,Improving
S100366,2019-20,180,147,81.67,False,Declining
S100367,2019-20,180,71,39.44,True,Improving
S100368,2019-20,180,81,45.0,True,Stable
S100369,2019-20,180,77,42.78,True,Stable
S100370,2019-20,180,125,69.44,True,Declining
S100371,2019-20,180,121,67.22,True,Improving
S100372,2019-20,180,120,66.67,True,Declining
S100373,2020-21,180,119,66.11,True,Declining
S100374,2020-21,180,138,76.67,False,Improving
S100375,2022-23,180,165,91.67,False,Declining
S100376,2019-20,180,98,54.44,True,Improving
S100377,2019-20,180,132,73.33,True,Improving
S100378,2020-21,180,81,45.0,True,Declining
S100379,2020-21,180,140,77.78,False,Stable
S100380,2019-20,180,73,40.56,True,Stable
S100381,2019-20,180,154,85.56,False,Stable
S100382,2020-21,180,164,91.11,False,Improving
S100383,2020-21,180,66,36.67,True,Stable
S100384,2022-23,180,170,94.44,False,Improving
S100385,2022-23,180,94,52.22,True,Improving
S100386,2019-20,180,93,51.67,True,Declining
S100387,2020-21,180,126,70.0,True,Declining
S100388,2022-23,180,122,67.78,True,Stable
S100389,2019-20,180,61,33.89,True,Improving
S100390,2022-23,180,168,93.33,False,Stable
S100391,2022-23,180,150,83.33,False,Declining
S100392,2022-23,180,104,57.78,True,Improving
S100393,2021-22,180,122,67.78,True,Improving
S100394,2019-20,180,61,33.89,True,Declining
S100395,2022-23,180,175,97.22,False,Stable
S100396,2019-20,180,113,62.78,True,Improving
S100397,2019-20,180,110,61.11,True,Improving
S100398,2020-21,180,100,55.56,True,Declining
S100399,2019-20,180,64,35.56,True,Stable
S100400,2022-23,180,144,80.0,False,Improving
S100401,2019-20,180,130,72.22,True,Declining
S100402,2020-21,180,84,46.67,True,Declining
S100403,2021-22,180,168,93.33,False,Improving
S100404,2021-22,180,60,33.33,True,Stable
S100405,2020-21,180,68,37.78,True,Improving
S100406,2022-23,180,125,69.44,True,Stable
S100407,2022-23,180,126,70.0,True,Improving
S100408,2022-23,180,167,92.78,False,Stable
S100409,2019-20,180,160,88.89,False,Stable
S100410,2021-22,180,167,92.78,False,Stable
S100411,2022-23,180,63,35.0,True,Stable
S100412,2021-22,180,80,44.44,True,Improving
S100413,2020-21,180,120,66.67,True,Declining
S100414,2021-22,180,85,47.22,True,Improving
S100415,2022-23,180,176,97.78,False,Stable
S100416,2021-22,180,103,57.22,True,Improving
S100417,2020-21,180,96,53.33,True,Stable
S100418,2021-22,180,137,76.11,False,Improving
S100419,2019-20,180,169,93.89,False,Improving
S100420,2020-21,180,69,38.33,True,Stable
S100421,2019-20,180,149,82.78,False,Improving
S100422,2019-20,180,133,73.89,True,Stable
S100423,2022-23,180,160,88.89,False,Improving
S100424,2022-23,180,141,78.33,False,Improving
S100425,2020-21,180,150,83.33,False,Declining
S100426,2022-23,180,140,77.78,False,Improving
S100427,2021-22,180,133,73.89,True,Improving
S100428,2020-21,180,134,74.44,True,Improving
S100429,2022-23,180,106,58.89,True,Improving
S100430,2022-23,180,147,81.67,False,Improving
S100431,2021-22,180,142,78.89,False,Improving
S100432,2019-20,180,167,92.78,False,Improving
S100433,2021-22,180,139,77.22,False,Declining
S100434,2019-20,180,82,45.56,True,Improving
S100435,2022-23,180,179,99.44,False,Declining
S100436,2019-20,180,135,75.0,False,Declining
S100437,2019-20,180,177,98.33,False,Improving
S100438,2022-23,180,113,62.78,True,Improving
S100439,2020-21,180,118,65.56,True,Improving
S100440,2021-22,180,78,43.33,True,Stable
S100441,2022-23,180,84,46.67,True,Stable
S100442,2021-22,180,126,70.0,True,Stable
S100443,2021-22,180,72,40.0,True,Stable
S100444,2019-20,180,80,44.44,True,Improving
S100445,2022-23,180,81,45.0,True,Declining
S100446,2020-21,180,106,58.89,True,Stable
S100447,2021-22,180,122,67.78,True,Declining
S100448,2021-22,180,88,48.89,True,Stable
S100449,2020-21,180,108,60.0,True,Improving
S100450,2021-22,180,166,92.22,False,Declining
S100451,2022-23,180,84,46.67,True,Stable
S100452,2020-21,180,82,45.56,True,Declining
S100453,2022-23,180,135,75.0,False,Stable
S100454,2020-21,180,108,60.0,True,Declining
S100455,2021-22,180,177,98.33,False,Declining
S100456,2020-21,180,82,45.56,True,Stable
S100457,2022-23,180,64,35.56,True,Improving
S100458,2020-21,180,88,48.89,True,Stable
S100459,2021-22,180,64,35.56,True,Declining
S100460,2019-20,180,98,54.44,True,Stable
S100461,2021-22,180,158,87.78,False,Declining
S100462,2021-22,180,94,52.22,True,Stable
S100463,2019-20,180,140,77.78,False,Declining
S100464,2020-21,180,89,49.44,True,Improving
S100465,2021-22,180,115,63.89,True,Stable
S100466,2019-20,180,61,33.89,True,Stable
S100467,2022-23,180,74,41.11,True,Stable
S100468,2019-20,180,110,61.11,True,Improving
S100469,2021-22,180,82,45.56,True,Declining
S100470,2022-23,180,165,91.67,False,Declining
S100471,2021-22,180,85,47.22,True,Declining
S100472,2019-20,180,70,38.89,True,Improving
S100473,2022-23,180,83,46.11,True,Improving
S100474,2021-22,180,68,37.78,True,Stable
S100475,2019-20,180,137,76.11,False,Declining
S100476,2022-23,180,147,81.67,False,Improving
S100477,2021-22,180,130,72.22,True,Stable
S100478,2019-20,180,69,38.33,True,Stable
S100479,2021-22,180,156,86.67,False,Declining
S100480,2021-22,180,156,86.67,False,Stable
S100481,2021-22,180,169,93.89,False,Stable
S100482,2020-21,180,150,83.33,False,Improving
S100483,2021-22,180,131,72.78,True,Improving
S100484,2022-23,180,137,76.11,False,Declining
S100485,2019-20,180,130,72.22,True,Stable
S100486,2019-20,180,141,78.33,False,Declining
S100487,2020-21,180,116,64.44,True,Improving
S100488,2020-21,180,149,82.78,False,Stable
S100489,2020-21,180,178,98.89,False,Stable
S100490,2021-22,180,164,91.11,False,Declining
S100491,2021-22,180,74,41.11,True,Declining
S100492,2022-23,180,92,51.11,True,Improving
S100493,2019-20,180,70,38.89,True,Improving
S100494,2019-20,180,78,43.33,True,Declining
S100495,2021-22,180,101,56.11,True,Declining
S100496,2019-20,180,141,78.33,False,Stable
S100497,2021-22,180,145,80.56,False,Declining
S100498,2020-21,180,117,65.0,True,Improving
S100499,2021-22,180,159,88.33,False,Stable
S100500,2022-23,180,77,42.78,True,Declining
S100501,2021-22,180,77,42.78,True,Improving
S100502,2021-22,180,81,45.0,True,Declining
S100503,2019-20,180,148,82.22,False,Declining
S100504,2021-22,180,177,98.33,False,Declining
S100505,2022-23,180,111,61.67,True,Improving
S100506,2021-22,180,103,57.22,True,Stable
S100507,2021-22,180,90,50.0,True,Stable
S100508,2020-21,180,68,37.78,True,Improving
S100509,2021-22,180,109,60.56,True,Declining
S100510,2021-22,180,161,89.44,False,Improving
S100511,2021-22,180,178,98.89,False,Declining
S100512,2022-23,180,120,66.67,True,Stable
S100513,2019-20,180,78,43.33,True,Stable
S100514,2020-21,180,111,61.67,True,Improving
S100515,2020-21,180,114,63.33,True,Improving
S100516,2021-22,180,84,46.67,True,Stable
S100517,2021-22,180,138,76.67,False,Stable
S100518,2019-20,180,128,71.11,True,Declining
S100519,2021-22,180,134,74.44,True,Improving
S100520,2022-23,180,72,40.0,True,Improving
S100521,2019-20,180,93,51.67,True,Declining
S100522,2021-22,180,131,72.78,True,Declining
S100523,2019-20,180,84,46.67,True,Improving
S100524,2020-21,180,150,83.33,False,Improving
S100525,2021-22,180,134,74.44,True,Improving
S100526,2019-20,180,123,68.33,True,Improving
S100527,2019-20,180,141,78.33,False,Improving
S100528,2021-22,180,69,38.33,True,Stable
S100529,2019-20,180,156,86.67,False,Declining
S100530,2021-22,180,159,88.33,False,Improving
S100531,2021-22,180,76,42.22,True,Declining
S100532,2022-23,180,172,95.56,False,Stable
S100533,2022-23,180,64,35.56,True,Declining
S100534,2019-20,180,146,81.11,False,Declining
S100535,2019-20,180,126,70.0,True,Declining
S100536,2019-20,180,162,90.0,False,Stable
S100537,2020-21,180,160,88.89,False,Declining
S100538,2021-22,180,69,38.33,True,Stable
S100539,2021-22,180,86,47.78,True,Improving
S100540,2020-21,180,115,63.89,True,Declining
S100541,2020-21,180,66,36.67,True,Declining
S100542,2019-20,180,172,95.56,False,Improving
S100543,2021-22,180,88,48.89,True,Declining
S100544,2022-23,180,108,60.0,True,Stable
S100545,2022-23,180,98,54.44,True,Improving
S100546,2020-21,180,129,71.67,True,Stable
S100547,2020-21,180,68,37.78,True,Stable
S100548,2021-22,180,131,72.78,True,Stable
S100549,2021-22,180,120,66.67,True,Improving
S100550,2022-23,180,137,76.11,False,Declining
S100551,2021-22,180,113,62.78,True,Declining
S100552,2019-20,180,161,89.44,False,Improving
S100553,2020-21,180,68,37.78,True,Stable
S100554,2022-23,180,119,66.11,True,Improving
S100555,2022-23,180,111,61.67,True,Declining
S100556,2019-20,180,134,74.44,True,Declining
S100557,2021-22,180,70,38.89,True,Stable
S100558,2021-22,180,163,90.56,False,Declining
S100559,2020-21,180,94,52.22,True,Declining
S100560,2019-20,180,134,74.44,True,Stable
S100561,2022-23,180,95,52.78,True,Stable
S100562,2019-20,180,114,63.33,True,Improving
S100563,2022-23,180,62,34.44,True,Improving
S100564,2019-20,180,168,93.33,False,Stable
S100565,2021-22,180,142,78.89,False,Improving
S100566,2022-23,180,131,72.78,True,Improving
S100567,2020-21,180,112,62.22,True,Improving
S100568,2019-20,180,87,48.33,True,Stable
S100569,2021-22,180,112,62.22,True,Declining
S100570,2022-23,180,179,99.44,False,Declining
S100571,2021-22,180,113,62.78,True,Declining
S100572,2019-20,180,112,62.22,True,Declining
S100573,2020-21,180,124,68.89,True,Stable
S100574,2020-21,180,112,62.22,True,Improving
S100575,2019-20,180,99,55.0,True,Stable
S100576,2022-23,180,153,85.0,False,Improving
S100577,2021-22,180,100,55.56,True,Stable
S100578,2021-22,180,97,53.89,True,Improving
S100579,2022-23,180,134,74.44,True,Declining
S100580,2019-20,180,88,48.89,True,Improving
S100581,2021-22,180,90,50.0,True,Improving
S100582,2021-22,180,120,66.67,True,Declining
S100583,2019-20,180,133,73.89,True,Improving
S100584,2021-22,180,158,87.78,False,Stable
S100585,2022-23,180,99,55.0,True,Improving
S100586,2022-23,180,152,84.44,False,Improving
S100587,2019-20,180,160,88.89,False,Stable
S100588,2019-20,180,61,33.89,True,Stable
S100589,2022-23,180,107,59.44,True,Improving
S100590,2019-20,180,60,33.33,True,Declining
S100591,2022-23,180,118,65.56,True,Declining
S100592,2022-23,180,91,50.56,True,Stable
S100593,2022-23,180,147,81.67,False,Improving
S100594,2021-22,180,61,33.89,True,Declining
S100595,2019-20,180,118,65.56,True,Declining
S100596,2021-22,180,62,34.44,True,Improving
S100597,2019-20,180,132,73.33,True,Stable
S100598,2020-21,180,108,60.0,True,Improving
S100599,2021-22,180,147,81.67,False,Improving
S100600,2021-22,180,135,75.0,False,Improving
S100601,2021-22,180,93,51.67,True,Declining
S100602,2020-21,180,179,99.44,False,Declining
S100603,2019-20,180,121,67.22,True,Declining
S100604,2020-21,180,93,51.67,True,Improving
